,Title,Abstract,Category,Words
47,Continuous Improvements in Project Management Practices Through PMOs-The Case of Buzios Field,This paper presents a series of improvements Petrobras has been undertaking in its Project Management (PM) practices and the shaping of a multi-level Project Management Office (PMO) structure through the case of Buzios implementation program. Buzios is P Continuous Improvements in Project Management Practices Through PMOs-The Case of Buzios Field,Governance,  series improvement petrobras undertaking    practice shaping multi    office pmo structure   implementation program   continuous improvement   practice pmos the   
48,Connecting enterprise architecture and project portfolio management: A review and a model for IT project alignment,"Enterprise architecture (EA) and project portfolio management (PPM) are key areas when it comes to connecting enterprise strategy and information technology (IT) projects. Both management disciplines enhance business capabilities, integrate skilled resou Connecting enterprise architecture and project portfolio management: A review and a model for IT project alignment",Governance,enterprise architecture     ppm   come connecting enterprise strategy information technology   discipline enhance business cap integrate skilled resou connecting enterprise architecture    review model  alignment
49,Paradise by the dashboard light: Designing governance metrics in turbulent environments,"One of the emerging sweet-spots in business intelligence (BI) and business performance management (BPM) projects is the design of metrics (dashboards) in such a way that they balance the need for ""inward focused"" operational management with the need for ""outward-focused"" strategic management. Unfortunately, hitting this sweet spot often proves to be a difficult process, particularly in more turbulent environments. This article aims to understand the forces at work in the design process of these metrics using two starkly contrasting case studies involving the design of dashboards for IT departments, specifically for IT governance which concerns the alignment between business and IT. The first case explores metrics design for an organization with low external and high internal turbulence (a German insurance company), the second contrasting case focuses on a similar metrics design process but now for an organization facing low internal turbulence and high external turbulence (an African national government). Our findings suggest how the source of project turbulence impacts the success of the metrics design process, the bias towards more inward-focused or outward-focused metrics, and the overall outcomes of the project. © 2012 IEEE. Paradise by the dashboard light: Designing governance metrics in turbulent environments",Governance, emerging sweet spots business intelligence  business performance  bpm  design metric dashboard way balance  inward  operational   outward  strategic  unfortunately hitting sweet spot  prof difficult  particularly turbulent environment article  understand force work design  metric  two starkly contrasting  study involving design dashboard department specifically governance concern alignment business first  explores metric design organization low external high internal turbulence german insurance company second contrasting   similar metric design  organization facing low internal turbulence high external turbulence african national government finding suggest source  turbulence impact success metric design  bias towards inward  outward  metric overall outcome    ieee paradise dashboard light designing governance metric turbulent environment
50,Information support of corporate governance and strategic management using analytical software,"In the paper an information aspect of corporate governance and strategic management is considered. Relying on analysis of merits and limitations of current developments the concept of performance management information support system and the appropriate modeling approach are proposed. Finally, the possibilities of use of analytical information systems for corporate governance and strategic management are discussed. ©2010 IEEE. Information support of corporate governance and strategic management using analytical software",Governance, information aspect corporate governance strategic  considered relying analysis merit limitation current development  performance  information support  appropriate modeling approach  finally possibility  analytical information  corporate governance strategic  discussed   ieee information support corporate governance strategic   analytical software
51,Business intelligence capabilities as facilitators to achieve organizational agility,"Today's business environment is characterized by fast and unexpected changes, many of which are driven by technological advancement. In such environment, the ability to respond effectively and adapt to the new requirements is not only desirable but essential to survive. Comprehensive and quick understanding of intricacies of market changes facilitates firm's faster and better response. Two concepts contribute to the success of this scenario; organizational agility and business intelligence (BI). As of today, despite BI's capabilities to foster organizational agility and consequently improve organizational performance, a clear link between BI and organizational agility has not been established. In this paper we argue that BI solutions have the potential to be facilitators for achieving agility. We aim at showing how BI capabilities can help achieve agility at operational, portfolio, and strategic levels. Business intelligence capabilities as facilitators to achieve organizational agility",Governance, business environment characterized fast unexpected change  driven technological advancement environment  respond effectively adapt  requirement desirable essential survive comhensive quick understanding intricacy market change facilitates firm faster better response two  contribute success scenario organizational agility business intelligence   despite  cap foster organizational agility  improve organizational performance clear link  organizational agility established  argue  solution potential facilitator achieving agility  ing  cap   agility operational  strategic  business intelligence cap facilitator  organizational agility
52,Towards successful establishment of a project portfolio management system: Business process management approach,"Linking structures, processes and resources with corporate strategies is a key requirement of today's organizations, bringing about integration toward achieving long-term objectives. Organizations can no longer rely on traditional practices since advance Towards successful establishment of a project portfolio management system: Business process management approach",Governance,linking structure  resource corporate strategy  requirement  organization bringing integration toward achieving   objective organization  rely traditional practice since advance towards successful establishment     business   approach
53,Corporate Governance of the Project-Oriented Company Contributing to Its Sustainable Development,"Different corporate governance structures are appropriate for different company types. Given the specifics of the project-oriented company, which manages unique business processes of medium to large scope by projects and by programs, specific governing s Corporate Governance of the Project-Oriented Company Contributing to Its Sustainable Development",Governance, corporate governance structure appropriate  company type  specific  oriented company  unique business  medium large scope  program specific governing corporate governance  oriented company contributing sustainable development
54,Exploring the roles of portfolio steering committees in project portfolio governance,"Governing project portfolios engages different actors in organizations including portfolio managers, portfolio officers, top managers, and others who may team up as portfolio steering committees. While portfolio steering committees play a regular role in Exploring the roles of portfolio steering committees in project portfolio governance",Governance,governing   engages  actor organization including    officer top  others may team  steering committee  steering committee play regular role exploring role  steering committee   governance
55,Improving the realization of IT demands: A design theory for end-to-end demand management,"With the growing penetration of IT and its critical role within organizations, the number of requests for IT services and solutions is steadily increasing. However, many companies lack a consolidated view of all these requests or demands. They also strug Improving the realization of IT demands: A design theory for end-to-end demand management",Governance,growing penetration critical role  organization  request service solution steadily increasing   company lack consolidated view request demand  strug improving realization demand design theory end  end demand 
56,"Governance and governmentality for projects: Enablers, practices, and consequences","This research-based book takes an organization-wide perspective to describe the governance and governmentality for projects in organizations. Governance of projects defines and directs the ways managers of projects, programs, and project portfolios carry Governance and governmentality for projects: Enablers, practices, and consequences",Governance,research based book take organization wide perspective describe governance governmentality  organization governance  defines directs way   program   carry governance governmentality  enablers practice consequence
57,"International Conference on Information Systems, ICIS 2012, Volume 5","The proceedings contain 308 papers. The special focus in this conference is on Information Systems. The topics include: Heterogeneity in IT landscapes and monopoly power of firms; community ecology for innovation concept; peer influence in a very large s International Conference on Information Systems, ICIS 2012, Volume 5",Monitoring and control,proceeding     special  conference information  topic  heterogeneity landscape monopoly power firm community ecology innovation  peer influence large international conference information  icis   volume  
58,Balancing the portfolio of urban and public projects with distance-dependent coverage facilities,"The portfolio of urban and public projects should be balanced in terms of completion time, districts, and strategic objectives. For this purpose, we suggest a mixed-integer nonlinear programming model based on the goal programming approach. Projects are  Balancing the portfolio of urban and public projects with distance-dependent coverage facilities",Monitoring and control, urban   balanced  completion  district strategic objective  suggest mixed integer linear programming model based goal programming approach  balancing  urban   distance dependent coverage facility
59,"15th Wuhan International Conference on E-Business, WHICEB 2016","The proceedings contain 70 papers. The special focus in this conference is on E-Business. The topics include: An Empirical Research on Hotel Revenue Management Financial Performance Influencing Factors; an Empirical Research on the Evaluation System of C 15th Wuhan International Conference on E-Business, WHICEB 2016",Monitoring and control,proceeding     special  conference  business topic  empirical research hotel revenue  financial performance influencing factor empirical research evaluation     wuhan international conference  business whiceb  
60,"International Conference on Information Systems, ICIS 2012, Volume 4","The proceedings contain 308 papers. The special focus in this conference is on Information Systems. The topics include: Heterogeneity in IT landscapes and monopoly power of firms; community ecology for innovation concept; peer influence in a very large s International Conference on Information Systems, ICIS 2012, Volume 4",Monitoring and control,proceeding     special  conference information  topic  heterogeneity landscape monopoly power firm community ecology innovation  peer influence large international conference information  icis   volume  
61,"International Conference on Information Systems, ICIS 2012, Volume 1","The proceedings contain 308 papers. The special focus in this conference is on Information Systems. The topics include: Heterogeneity in IT landscapes and monopoly power of firms; community ecology for innovation concept; peer influence in a very large s International Conference on Information Systems, ICIS 2012, Volume 1",Monitoring and control,proceeding     special  conference information  topic  heterogeneity landscape monopoly power firm community ecology innovation  peer influence large international conference information  icis   volume  
62,Object oriented Petri nets usage in project portfolio modeling domain,"The paper presents a way, how the Petri net technique, in concrete, Object Oriented Petri Nets (OO PN) can be applied in project management domain. There is shown the use of Object Oriented approach and concepts in project planning, organizing, monitorin Object oriented Petri nets usage in project portfolio modeling domain",Monitoring and control,  way petri net technique concrete object oriented petri net   applied   domain   object oriented approach   planning organizing monitorin object oriented petri net usage   modeling domain
63,Project portfolio implementation under uncertainty and interdependencies: A simulation study of behavioural responses,"Even though systems thinking has been highlighted in portfolio management theory, independent project control logic still dominates its implementation process. This paper constructs a system dynamics model for portfolio monitoring and control. Considerin Project portfolio implementation under uncertainty and interdependencies: A simulation study of behavioural responses",Monitoring and control,even though  thinking highlighted   theory independent  control logic still dominates implementation   construct  dynamic model  monitoring control considerin   implementation uncertainty interdependency simulation study behavioural response
64,Optimal project portfolio selection with reinvestment strategy considering sustainability in an uncertain environment: a multi-objective optimization approach,"Purpose: This study aims to develop a model for project portfolio selection considering organizational goals such as budgets, sustainability cash flow and reinvestment strategy under an uncertain environment. Design/methodology/approach: A multi-objectiv Optimal project portfolio selection with reinvestment strategy considering sustainability in an uncertain environment: a multi-objective optimization approach",Monitoring and control, study  develop model   selection considering organizational goal budget sustain cash flow reinvestment strategy uncertain environment design methodology approach multi objectiv optimal   selection reinvestment strategy considering sustain uncertain environment multi objective optimization approach
65,Vaikuttavaa tutkimusta arviointikäytäntöjä julkisissa tutkimusorganisaatioissa: Helia ja SAMK,"The role of the polytechnics (also referred to as ""universities of applied sciences"") in the Finnish innovation system has, from rather humble beginnings, steadily increased in importance. The development of their knowledge base has become an integral pa Vaikuttavaa tutkimusta arviointikäytäntöjä julkisissa tutkimusorganisaatioissa: Helia ja SAMK",Monitoring and control,role polytechnic  referred university applied science finnish innovation  rather humble beginning steadily increased importance development knowledge base  integral  vaikuttavaa tutkimusta arviointikaytantoja julkisissa tutkimusorganisaatioissa helia  samk
66,Performance management systems for project management offices: A case-based study,"Project Management Offices (PMOs) are organizational structures in charge of managing and coordinating several simultaneous projects within companies. Due to the complexity of different projects' objectives, it is usual to simplify project indicators and  Performance management systems for project management offices: A case-based study",Monitoring and control,  office pmos organizational structure charge managing coordinating  simultaneous   company due complexity   objective usual simplify  indicator performance     office  based study
67,"International Conference on Information Systems, ICIS 2012, Volume 5","The proceedings contain 308 papers. The special focus in this conference is on Information Systems. The topics include: Heterogeneity in IT landscapes and monopoly power of firms; community ecology for innovation concept; peer influence in a very large s International Conference on Information Systems, ICIS 2012, Volume 5",Monitoring and control,proceeding     special  conference information  topic  heterogeneity landscape monopoly power firm community ecology innovation  peer influence large international conference information  icis   volume  
68,Data science approach for it project management,"Majority of the IT companies realized that ability to analyse and use data, could be one of the key factors for increasing of number of successful projects, portfolios, programs. Key performance indicators based on data analysis helps organizations be mo Data science approach for it project management",Monitoring and control,majority company   analyse  data could   factor increasing  successful   program  performance indicator based data analysis  organization  data science approach  
69,Improving Project Control by Utilizing Predictive Data Analytic Models,"Project progress is an apprehension for every project, as it indicates how the project is likely to meet the associated milestones. Utilizing collected data from archived projects can assist managers to envisage project progress. By leveraging the power of data analytics, this research attempts to highlight data trends based on data collected from 279 infrastructure projects in the UAE. Specifically, this research rigorously analyses the relationships between project budget, duration, and progress using K-means clustering techniques and hypothesis testing. We then provide predictive models using Autoregressive Integrated Moving Average - ARIMA and Multivariate regression models that allow managers to predict with a 99.15% accuracy the monthly progress of an infrastructure project over the next 3 months. This research paper provides project managers with a comprehensive framework that combines data analytics techniques with agility practices to predict short term project progress in order to take proactive measures on the different influencing factors.  © IEEE 2022. Improving Project Control by Utilizing Predictive Data Analytic Models",Monitoring and control, progress aphension every  indicates  likely meet associated milest utilizing collected data archived  assist  envisage  progress leveraging power data analytics research attempt highlight data trend based data collected   infrastructure  uae specifically research rigorously analysis relationship  budget duration progress   means clustering technique hypothesis testing provide dictive model  autoregressive integrated moving average arima multivariate regression model allow  dict   accuracy monthly progress infrastructure  next   month research  provides   comhensive framework combine data analytics technique agility practice dict short   progress order take proactive measure  influencing factor ieee   improving  control utilizing dictive data analytic model
70,Using analytics to predict project management success,"IT projects normally face time and cost overruns challenges. Predicting which projects will not be completed by the expected end date (time overrun) and within the allotted number of hours (man-hours overrun) helps manage company's employee utilization and avoids overscheduling. This study applied a data analytics framework on IT project management dataset to predict the project completion time and overruns (in man-hours). We used linear regression and classification models to predict projects' performance and analyze the underlying factors causing project delay. Our predictive analysis used 131 variables which included 536 tasks, 138 resources, 69371 employee hours, 72 contractors that were assigned to 434 projects. We also calculated two new variables closeness and betweenness among project team members. Results showed that Decision Tree outperformed SVM, ANN, LDA, and logistic regression in predicting man-hours overrun. In addition, preliminary Social Network Analysis (SNA) indicates that Average-closeness and Average-betweenness did not improve prediction on the overall amount of time and man-hours overrun but improve the prediction on time overrun, but task, resource and contractor assignments variables were significant at p-value of .01. The models we used helps identify key predictors of project performance and provide insights into the company's resource management.  Using analytics to predict project management success",Monitoring and control, normally   cost overrun challenge dicting  completed expected end date  overrun  allotted  hour man hours overrun   company employee utilization avoids overscheduling study applied data analytics framework   data dict  completion  overrun man hours  linear regression classification model dict  performance analyze underlying factor   delay dictive analysis    variable    task   resource   employee hour   contractor assigned     calculated two  variable closeness betweenness among  team member   decision tree outperformed svm ann lda logistic regression dicting man hours overrun addition liminary social network analysis sna indicates average closeness average betweenness improve diction overall amount  man hours overrun improve diction  overrun task resource contractor assignment variable significant  value   model     dictor  performance provide insight company resource   analytics dict   success
71,Project performance analysis using hierarchical clustering method,This paper deals with the project management performance analysis in automotive industry and usage of the advanced analytics to optimize the performance of the engineering projects within the vehicle manufacturing facility. The aim is to identify and mitigate the common causes of project delay (slippage) in various engineering projects that are independent of the technical discipline where a particular project belongs to. We have used the hierarchical clustering technique here to identify the sub-groups of similar projects and further deeply analysed those ones with the highest average slippage. © 2021 International Journal of Emerging Technology and Advanced Engineering. All rights reserved. Project performance analysis using hierarchical clustering method,Monitoring and control, deal   performance analysis automotive industry usage advanced analytics optimize performance engineering   vehicle manufacturing facility   mitigate common   delay slippage various engineering  independent technical discipline particular  bes  hierarchical clustering technique  sub groups similar  deeply analysed  highest average slippage   international journal emerging technology advanced engineering right reserved  performance analysis  hierarchical clustering method
72,Data science approach for it project management,"Majority of the IT companies realized that ability to analyse and use data, could be one of the key factors for increasing of number of successful projects, portfolios, programs. Key performance indicators based on data analysis helps organizations be more prosperous in a long term perspective. Also, statistical data are very useful for monitoring and evaluation of project results which are very important for managers, delivery directors, CTO and others high level management of company. The Data Science methods could make more efficient project management in several of business problems. Analysis of historical data from the project life-cycle based on Data Science models could provide more efficient benefits for different stakeholders. Differential of the project data vector with target as an integral evaluation of the project success which allow for the complex correlations between separate features. Therefore, the influence of features importance and override creatures could be decreased on the target. This study propose new approach based on Data Science providing more efficient and accurately project management, taking into account best practices and project performance data. © 2019 Janis Grabis, Bohdan Haidabrus, Serhiy Protsenko, Iryna Protsenko, Anna Rovna. Data science approach for it project management",Monitoring and control,majority company   analyse  data could   factor increasing  successful   program  performance indicator based data analysis  organization prosperous   perspective  statistical data ful monitoring evaluation   important  delivery director cto others high   company data science method could  efficient    business  analysis historical data  life cycle based data science model could provide efficient benefit  stakeholder ial  data vector target integral evaluation  success allow complex correlation separate feature therefore influence feature importance override creature could decreased target study propose  approach based data science providing efficient accurately   taking account  practice  performance data   janis grabis bohdan haidabrus serhiy protsenko iryna protsenko anna rovna data science approach  
73,Data assessment model for strategic management,"A data-oriented culture enables new ways of building competitive advantage, but also requires new type of managerial skills. Despite of fast-growing attention to data assets, there are very few managerial tools for the purpose. In this paper, we propose a new data assessment model for strategic management. The model makes the organization's analytical capabilities and development needs transparent. The model consists of three phases and uses an easily communicated four-field model for mapping existing data and discovering new possibilities. The model helps to identify what datasets the organization could use in analytics and to assess them according to their strategic importance. Therefore, organization's development resources can be targeted effectively. The relevancy of the model was discovered during empirical studies with regional organizations on business analytics maturity. Data assessment model for strategic management",Monitoring and control,data oriented culture enables  way building competitive advantage  requires  type rial skill despite fast growing attention data  rial tool   propose  data assessment model strategic  model  organization analytical cap development  transparent model consists three phase  easily communicated four  model mapping existing data discovering  possibility model   datas organization could  analytics ass according strategic importance therefore organization development resource targeted effectively relevancy model discovered empirical study regional organization business analytics maturity data assessment model strategic 
74,Strategic alignment and value maximization for IT project portfolios,"Managing project portfolios has been a challenge to many IT organizations due to the size and complexity of their initiatives that are often cross-functional, fast changing, and transformational in nature. Governance on soliciting, selecting, and monitor Strategic alignment and value maximization for IT project portfolios",Monitoring and control,managing   challenge  organization due size complexity initiative  cross functional fast changing transformational  governance soliciting selecting monitor strategic alignment value maximization  
75,MERI: METHODOLOGY FOR ESTIMATING COST AND TIME RISKS IN PROJECTS USING MACHINE LEARNING. APPLICATION TO OIL&GAS INFRASTRUCTURE; [MERI: METODOLOGÍA DE ESTIMACIÓN DE RIESGOS DE COSTE Y PLAZO EN PROYECTOS MEDIANTE MACHINE LEARNING. APLICACIÓN A INFRAESTRUCT,"Historically, cost overruns in construction projects have been a major problem. Nowadays, the magnitude of this problem is completely unsustainable with cases of ""billionaire"" cost overruns all over the world. Previous works stresses the role of risk man MERI: METHODOLOGY FOR ESTIMATING COST AND TIME RISKS IN PROJECTS USING MACHINE LEARNING. APPLICATION TO OIL&GAS INFRASTRUCTURE; [MERI: METODOLOGÍA DE ESTIMACIÓN DE RIESGOS DE COSTE Y PLAZO EN PROYECTOS MEDIANTE MACHINE LEARNING. APLICACIÓN A INFRAESTRUCT",Monitoring and control,historically cost overrun construction  major  nowadays magnitude  completely unsustainable  billionaire cost overrun  vious work stress role risk man meri methodology estimating cost  risk   machine learning application  gas infrastructure meri metodologia  estimacion  riesgos  coste plazo  proyectos mediante machine learning aplicacion infraestruct
76,Risk optimization for R&D project portfolios,"R&D projects typically exist in an environment that requires management to allocate resources (staff, space, and funds) across a limited number of projects. This process can have a significant impact on the future growth and profitability of the business Risk optimization for R&D project portfolios",Monitoring and control,  typically exist environment requires  allocate resource staff space fund across limited    significant impact future growth profit business risk optimization   
77,Including oil price uncertainty in development option selection taking the project portfolio into account,"Oil price forecasting has been shown to be challenging if not impossible for the long-term. However, the oil price has a major impact on Exploration and Production projects. Historical Project Realized Oil Price (PROP) can be calculated for example proje Including oil price uncertainty in development option selection taking the project portfolio into account",Monitoring and control, price forecasting  challenging impossible     price major impact exploration production  historical    price prop calculated example proje including  price uncertainty development option selection taking   account
78,Towards risk-aware scheduling of enterprise architecture roadmaps,Enterprises need to keep their organisation aligned with their business objectives. Enterprise Architecture provides a way to identify the current and target states as well as defining the evolution roadmap taking the form of a complex project portfolio. Towards risk-aware scheduling of enterprise architecture roadmaps,Monitoring and control,enterprise  keep organisation aligned business objective enterprise architecture provides way  current target state  defining evolution roadmap taking form complex   towards risk aware scheduling enterprise architecture roadmaps
79,Optimal project portfolio selection with reinvestment strategy considering sustainability in an uncertain environment: a multi-objective optimization approach,"Purpose: This study aims to develop a model for project portfolio selection considering organizational goals such as budgets, sustainability cash flow and reinvestment strategy under an uncertain environment. Design/methodology/approach: A multi-objectiv Optimal project portfolio selection with reinvestment strategy considering sustainability in an uncertain environment: a multi-objective optimization approach",Monitoring and control, study  develop model   selection considering organizational goal budget sustain cash flow reinvestment strategy uncertain environment design methodology approach multi objectiv optimal   selection reinvestment strategy considering sustain uncertain environment multi objective optimization approach
80,Vaikuttavaa tutkimusta arviointikäytäntöjä julkisissa tutkimusorganisaatioissa: Helia ja SAMK,"The role of the polytechnics (also referred to as ""universities of applied sciences"") in the Finnish innovation system has, from rather humble beginnings, steadily increased in importance. The development of their knowledge base has become an integral pa Vaikuttavaa tutkimusta arviointikäytäntöjä julkisissa tutkimusorganisaatioissa: Helia ja SAMK",Monitoring and control,role polytechnic  referred university applied science finnish innovation  rather humble beginning steadily increased importance development knowledge base  integral  vaikuttavaa tutkimusta arviointikaytantoja julkisissa tutkimusorganisaatioissa helia  samk
81,"ROI, the business case, and bottom-line impact","The issue of analyzing information technology (IT)-related projects for specific evidence of business value and return on investment (ROI) is discussed. ROI calculations improve project selection and better business cases lead to strong IT portfolios. Th ROI, the business case, and bottom-line impact",Monitoring and control,issue analyzing information technology related  specific evidence business value return investment roi discussed roi calculation improve  selection better business  lead strong   roi business  bottom line impact
82,Including oil price uncertainty in development option selection taking the project portfolio into account,"Oil price forecasting has been shown to be challenging if not impossible for the long-term. However, the oil price has a major impact on Exploration and Production projects. Historical Project Realized Oil Price (PROP) can be calculated for example proje Including oil price uncertainty in development option selection taking the project portfolio into account",Monitoring and control, price forecasting  challenging impossible     price major impact exploration production  historical    price prop calculated example proje including  price uncertainty development option selection taking   account
83,USING MONTE CARLO SIMULATION TO QUANTIFY THE COST IMPACT OF SYSTEMIC RISK FACTORS IN A PROJECT PORTFOLIO: A CASE STUDY,"In terms of project risk management, ?systemic risk? is identified as risks which are artefacts of the environment which a project is executed in, and are related to (i) the project team?s actions, (ii) how project controls are managed and interact, and  USING MONTE CARLO SIMULATION TO QUANTIFY THE COST IMPACT OF SYSTEMIC RISK FACTORS IN A PROJECT PORTFOLIO: A CASE STUDY",Monitoring and control,  risk   risk identified risk artefact environment  executed related  team action   control  interact  monte carlo simulation quantify cost impact  risk factor    study
84,System dynamics application in analyzing the schedule risk influence on project portfolio,"Due to the interaction between multiple projects and programs, the project portfolio can be regarded as a complicated system. Schedule risk of individual projects will be delivered to the inner portfolio according to this internal relationship of project System dynamics application in analyzing the schedule risk influence on project portfolio",Risk management,due interaction multiple  program   regarded complicated  schedule risk individual  delivered inner  according internal relationship   dynamic application analyzing schedule risk influence  
85,"Data-driven analysis of ""corporate risk"" using historical cost-control data","The process of risk management includes three phases of risk identification, risk quantification, and risk control. Of the three phases, many managers agree that the major benefits of risk management are derived from the insights through the way project  Data-driven analysis of ""corporate risk"" using historical cost-control data",Risk management, risk   three phase risk identification risk quantification risk control three phase   agree major benefit risk  derived insight way  data driven analysis corporate risk  historical cost control data
86,the evaluation of innovation projects,Abstract. Any realistic assessment of research projects must allow for possible failures. Scaling down the Potential gain from each project by its probability of achievement ignores the expenditure on unsuccessful projects and is therefore misleading. Th the evaluation of innovation projects,Risk management,abstract realistic assessment research  must allow possible failure scaling potential gain  prob ment ignores expenditure unsuccessful  therefore misleading  evaluation innovation 
87,Development of natural gas assets in frontier offshore areas under challenging technical and economic environment - A project finance with real options approach,"Gas field developments have been fundamental in the transition of moving toward a cleaner worldwide energy matrix. These developments normally flourish in the presence of large volumes, suitable infrastructure and committed demand through long-term contr Development of natural gas assets in frontier offshore areas under challenging technical and economic environment - A project finance with real options approach",Risk management,gas  development fundamental transition moving toward cer wide energy matrix development normally flourish sence large volume suitable infrastructure committed demand   contr development natural gas  frontier offshore  challenging technical economic environment  finance real option approach
88,Exploring the structures and design effects of EU-funded R&D&I project portfolios,"Joint R&D&I projects and programs increase performance but entail project-related risks; namely, concurrent projects may share resources, delays may be inherited by later projects, and costs may overrun. With a project portfolio, one can better plan budg Exploring the structures and design effects of EU-funded R&D&I project portfolios",Risk management,joint   program increase performance entail  related risk namely concurrent  may share resource delay may inherited later  cost may overrun    better plan budg exploring structure design effect  funded   
89,Simulation of adaptive project management analytics,"Typically, IT projects are delivered over-budget and behind schedule. In this paper, we explore the effects of common project management practices that contribute to these problems and suggest a better alternative that can utilize resources more effectively. Our alternative approach uses (a) a thorough analysis of risks affecting activities in a project plan (i.e., the root factors leading to cost and time overruns), and (b) an optimization of the resources allocated to each activity in the project plan to maximize the probability of on time and within budget project completion. One key feature of our method is its capability to adapt and learn the risk factors affecting activities during the course of the project, enabling project managers to reallocate resources dynamically to ensure a better outcome given the updated risk profile. We use simulations to test the performance of our optimization algorithm and to gain insights into the benefits of adaptive re-planning. © 2007 IEEE. Simulation of adaptive project management analytics",Risk management,typically  delivered over budget behind schedule  explore effect common   practice contribute  suggest better alternative utilize resource effectively alternative approach  thorough analysis risk affecting activity  plan   root factor leading cost  overrun  optimization resource allocated activity  plan maximize prob   budget  completion   feature method cap adapt learn risk factor affecting activity course  enabling   reallocate resource dynamically ensure better outcome  updated risk profile  simulation test performance optimization algorithm gain insight benefit adaptive  planning   ieee simulation adaptive   analytics
90,Probabilistic Approach to Predicting Risk in Software Projects Using Software Repository Data,"Although the factors that need to be focused on for a successful software project appear to be difficult to define, risk management has become one of the key activities for achieving such success because significant risk is involved in each software development phase. Software project failures are often a result of insufficient and ineffective risk information regarding the future. To overcome this, software risk prediction should be performed in advance to allow project managers insight into providing more valuable information for decision making, such as scope coverage, resource allocation, and schedule changes. In this research, we propose a risk prediction model from the perspective of quality using a software repository. We evaluated the risk threat level by mapping some defect attributes that exist in the defect lifecycle, defined their risk threat transition states, and applied a Markov chain for predicting the potential risk level. We evaluated the proposed approach using practical real-industry mobile software projects. The experimental results confirm that our approach is applicable to software threat risk estimation. © 2015 World Scientific Publishing Company. Probabilistic Approach to Predicting Risk in Software Projects Using Software Repository Data",Risk management, factor   successful software  appear difficult define risk     activity achieving success significant risk involved software development phase software  failure   insufficient ineffective risk information regarding future overcome software risk diction performed advance allow   insight providing valuable information decision making scope coverage resource allocation schedule change research propose risk diction model perspective quality  software repository evaluated risk threat  mapping defect attribute exist defect lifecycle defined risk threat transition state applied markov chain dicting potential risk  evaluated  approach  practical real industry mobile software  experimental  confirm approach  software threat risk estimation    scientific publishing company probabilistic approach dicting risk software   software repository data
91,Corporate Governance Efficiency: Automation of Corporate Governance Procedures,"Since the time of the first corporations, shareholders have expected boards to manage corporate governance processes in the best way. At the same time, the era of digital technology can significantly increase the effectiveness of corporate governance procedures through automation of corporate governance procedures as business processes. The board of directors and the corporate secretary can rely on performance indicators and manage the effectiveness of corporate governance processes. This chapter discusses opportunities for improving the business processes, including automation and analytics. The author considers approaches to project management of corporate governance procedures automation and its limitations. © 2022 by IGI Global. All rights reserved. Corporate Governance Efficiency: Automation of Corporate Governance Procedures",Risk management,since  first corporation shareholder expected board  corporate governance   way  era digital technology significantly increase effectiveness corporate governance procedure automation corporate governance procedure business  board director corporate secretary rely performance indicator  effectiveness corporate governance  chapter discus opportunity improving business  including automation analytics  considers approach   corporate governance procedure automation limitation   igi global right reserved corporate governance efficiency automation corporate governance procedure
92,"Portfolio management in commercially oriented businesses: Project selection, prioritization and measurement","In a commercially focused project oriented business, project identification, selection and execution determine profitability. A business must measure, rank and prioritize its commercial projects to ensure resources are allocated to the high priority comp Portfolio management in commercially oriented businesses: Project selection, prioritization and measurement",Risk management,commercially   oriented business  identification selection execution deine profit business must measure rank prioritize commercial  ensure resource allocated high priority comp   commercially oriented business  selection prioritization measurement
93,Moresa: confronting risks in a highly uncertain environment,Learning outcomes: At the end of the case students will be able to: 1. Relate risk as one of the 12 principles in project management contemplated in the international standards of the PMBOK Seventh Edition guide. 2. Determine high-level risks by articula Moresa: confronting risks in a highly uncertain environment,Risk management,learning outcome end  student able   relate risk    principle   contemplated international standard pmbok seventh edition guide   deine high  risk articula moresa confronting risk highly uncertain environment
94,New discovery as a result of complex approach to brownfield region evaluation,"Currently many prospective areas within Western Siberia still remain understudied and potentially promising, despite the huge amount of exploration works. These areas are mostly tending to be located at the side parts of the basin. Because of significant New discovery as a result of complex approach to brownfield region evaluation",Risk management,currently  prospective   western siberia still remain understudied potentially promising despite huge amount exploration work  mostly tending located side part basin significant  discovery  complex approach brown region evaluation
