Title,Capacity management,Change Management,Financial management,Governance,Monitoring and control,Risk management,Stakeholder management,Strategic alignment,Value management
Identifying critical issues in smart city big data project implementation,4.81,4.93,6.87,5.0,4.89,5.27,8.66,5.28,5.62
Ai robo-advisor with big data analytics for financial services,7.01,2.82,6.87,8.08,5.96,6.5,7.36,6.5,8.07
General electric uses simulation and risk analysis for silicon carbide production system design,4.81,2.82,5.85,5.77,4.26,4.92,3.46,4.54,4.65
"6th World Conference on Information Systems and Technologies, WorldCIST 2018",6.81,12.68,9.67,8.46,7.66,7.38,8.23,6.99,11.49
Advances and challenges for scalable cloud-based infrastructure for building data analysis and simulation,9.62,11.97,12.47,10.77,11.91,9.84,13.42,8.59,11.0
Many-objective portfolio optimization approach for stormwater management project selection encouraging decision maker buy-in,4.21,4.23,4.83,5.38,5.32,4.92,5.19,4.29,6.85
Reexamining the procurement management knowledge area utilizing applied data analytics,3.21,4.23,4.07,3.08,4.04,4.22,4.33,3.68,4.89
Learning analytics for formative assessment in engineering education,5.61,3.52,8.14,7.31,6.6,6.68,4.76,5.52,6.36
"2nd International Conference on Emerging Technologies in Computing, iCETiC 2019",5.41,8.45,8.65,6.54,8.72,7.73,8.66,6.5,7.33
"2nd European and Mediterranean Structural Engineering and Construction Conference, EURO-MED-SEC-2 2018",6.61,12.68,9.67,9.62,8.51,8.79,6.49,5.77,11.0
"10th International Development Informatics Association Conference, IDIA 2018",6.41,10.56,6.62,8.08,5.74,4.92,4.76,4.29,5.87
Predicting students’ performance in a virtual experience for project management learning,5.41,4.93,6.36,6.54,6.6,6.33,5.63,4.91,6.85
Application of Business Intelligence instrumental tools for vis-ualization of key performance indicators of an enterprise in tel-ecommunications,5.41,11.27,9.92,9.23,7.66,8.61,6.06,6.26,7.09
A cybersecurity prospective on industry 4.0: Enabler role of identity and access management,12.02,13.38,13.49,10.77,12.13,11.42,10.82,10.06,11.74
"Proceedings of the International Conference on Industrial Engineering and Operations Management Pretoria, IEOM 2018",8.42,14.08,10.43,8.08,8.94,8.61,8.23,6.63,12.22
Modular grinding stations (MGS) for sustainable growth,6.41,8.45,7.89,8.46,6.38,5.27,6.49,5.03,8.56
Anticipating new directions in contract clinical outsourcing,3.41,4.93,4.33,3.85,2.98,3.34,5.63,3.31,4.16
Integration of big-data ERP and business analytics (BA),4.81,5.63,5.85,8.08,5.11,4.92,6.49,3.8,5.38
Achieving decision-making quality and organisational agility in innovation portfolio management in telecommunication 4.0,6.61,11.27,8.14,8.85,6.17,6.15,9.09,5.28,9.78
"12th International Scientific and Practical Conference on Environment. Technology. Resources, 2019",8.42,11.97,9.67,6.54,9.36,7.73,8.23,6.75,8.8
Collaborative workspace for employee engagement leveraging social media architecture,7.62,11.27,8.4,8.08,7.87,7.73,9.52,7.61,7.82
A predictive model to identify Kanban teams at risk,3.21,2.11,3.31,5.38,5.11,4.22,3.46,4.05,2.93
DataGMA: Data-driven culture creation in shale field operations,9.42,14.79,12.21,12.69,10.64,9.49,9.09,9.08,10.02
How the Center for Public Partnerships and Research Navigates Complex Social Problems to Make a Collective Difference,4.01,7.04,4.83,5.77,4.68,4.75,6.93,4.29,4.65
Innovative strategy decision and portfolio assets analysis instrument – Permanent model of on-line reserves and resources monitoring,8.62,11.27,9.92,9.23,8.3,8.96,7.36,6.63,10.51
Improvement of Hedging on Stock Price Volatility Based on Fundamental Securities in Emerging Financial Markets,1.6,0.7,2.29,1.92,2.55,2.46,2.16,1.84,2.2
Estimating cost and commercial risks of North Sea decommissioning projects: Lessons learnt for Asia pacific,9.02,10.56,10.18,8.85,9.79,10.19,8.23,8.22,13.2
"39th International Conference Information Systems Architecture and Technology, ISAT 2018",7.01,8.45,10.18,11.92,9.36,7.73,7.36,6.99,11.49
"2nd EAI International Conference on Smart Grid and Internet of Things, SGIoT 2018",4.61,4.23,4.07,3.85,4.68,3.87,9.52,3.19,4.4
Digital analog intelligence helps mitigate E&P risk,4.41,4.23,4.07,3.46,3.83,4.04,3.03,3.56,5.62
A Survey of Internet of Things and Big Data integrated Solutions for Industrie 4.0,5.41,6.34,6.87,6.54,4.04,4.75,10.82,4.05,5.62
The role of sensors and controls in transforming the energy landscape,6.81,8.45,8.14,7.69,8.09,6.15,7.79,5.4,6.85
"Proceedings of the 2018 Federated Conference on Computer Science and Information Systems, FedCSIS 2018",4.01,4.93,3.56,3.46,3.62,3.16,6.06,3.19,4.65
Capabilities and Readiness for Big Data Analytics,4.61,8.45,5.09,8.08,4.47,4.57,6.49,3.8,5.87
Financial Analytics,2.4,1.41,3.31,1.92,2.13,2.99,1.3,2.09,1.71
Strategic Markowitz Portfolio Optimization (SMPO): A Portfolio Return Booster,4.61,5.63,4.33,4.62,4.04,4.39,2.6,3.93,4.89
"PICMET 2018 - Portland International Conference on Management of Engineering and Technology: Managing Technological Entrepreneurship: The Engine for Economic Growth, Proceedings",6.61,10.56,7.12,7.69,6.17,6.33,8.23,5.15,8.8
Rating microfinance products consumers using artificial neural networks,4.61,4.23,5.09,4.23,3.19,4.22,4.33,3.93,3.67
APC forum: Governing the wild west of predictive analytics and business intelligence,4.21,3.52,3.05,5.77,3.62,3.87,3.9,3.44,4.65
Social media as an information source in finance: evidence from the community of financial market professionals in Poland,6.01,7.75,5.6,5.77,5.32,4.92,5.19,4.05,5.62
"8th International Symposium on Business Modeling and Software Design, BMSD 2018",7.01,12.68,8.91,12.31,8.51,7.56,12.55,7.24,9.54
"1st International conference on Computational Intelligence , Communications, and Business Analytics, CICBA 2017",2.61,7.04,3.56,1.54,3.83,2.81,2.6,2.21,2.93
Guidelines for Evaluating the Completeness of the Portfolio,4.81,7.04,5.09,5.38,4.26,6.33,7.79,4.17,6.6
An empirical investigation of the relationship between institutional aspect and supply chain strategy in relation to investment policy in Indonesia,5.01,4.93,4.33,7.31,4.04,4.22,6.06,3.93,5.62
The Opinion Management Framework: Identifying and addressing customer concerns extracted from online product reviews,4.21,8.45,4.83,4.23,4.89,5.45,6.49,4.66,6.11
Causal data science for financial stress testing,4.81,4.93,5.6,3.46,7.45,5.62,3.9,5.4,5.38
Using analytics to predict project management success,5.61,6.34,5.6,5.38,14.04,4.92,6.06,4.54,6.36
Portfolio Management by Time Series Clustering Using Correlation for Stocks,3.61,3.52,3.82,4.23,4.26,4.39,3.46,4.17,4.89
Evaluating firm's readiness for big data adoption: A hierarchical decision model,5.21,3.52,4.07,4.62,4.26,4.92,3.46,3.8,8.07
SmartCVC: A novel startup selection method for corporate venture capital,7.01,10.56,7.63,9.23,8.3,7.38,6.06,5.4,7.33
"Proceedings of the 3rd EU International Conference on Industrial Engineering and Operations Management, IEOM 2019",6.21,14.08,7.89,5.38,7.02,6.5,7.79,4.05,7.58
Text and Information Analytics for Fully Automated Energy Code Checking,6.01,5.63,7.89,7.31,7.02,7.21,7.79,5.52,5.13
"Contractual Procedures in the Construction Industry, Seventh Edition",5.21,7.04,4.58,5.38,5.74,5.98,6.06,3.56,5.87
Digital innovative manufacturing basing on formation of an ecosystem of services and resources,8.02,12.68,9.92,10.0,7.66,9.31,10.39,6.75,9.78
HR transformation within the hotel industry: building capacity for change,7.21,7.75,6.11,9.23,6.6,5.8,7.79,5.28,8.31
Big data services based on mobile data and their strategic importance,7.41,10.56,9.92,10.38,8.72,8.79,9.09,6.99,8.56
A Data-Driven Residential Transformer Overloading Risk Assessment Method,5.01,6.34,5.34,6.54,5.74,5.45,5.19,4.79,4.65
Quantitative Comparison of Big Data Analytics and Business Intelligence Project Success Factors,7.01,8.45,5.85,8.46,5.11,6.5,6.49,6.13,7.33
Managing Urban Complexity: Project and Risk Management and Polycentric and Participatory Governance,7.62,11.97,8.4,8.08,8.72,8.79,11.69,6.75,10.27
Metrics That Matter: Core Predictive and Diagnostic Metrics for Improved Project Controls and Analytics,6.41,4.93,6.11,5.38,6.81,6.33,4.76,5.03,6.85
Evaluation Criteria of Project Risk and Decision Making Through Beta Analysis and TOPSIS Towards Achieving Organizational Effectiveness,8.62,14.79,10.69,9.23,8.09,18.1,7.79,8.47,12.22
Production excellence is the platform to support digital oil field,9.42,10.56,8.65,8.46,7.87,7.21,9.96,5.52,7.33
What CPI = 0.85 Really Means: A Probabilistic Extension of the Estimate at Completion,4.01,3.52,5.85,3.85,4.68,6.15,4.76,4.17,5.87
Bringing Advanced Analytics to Manufacturing: A Systematic Mapping,3.01,4.93,4.07,3.85,3.4,3.69,5.19,2.82,4.4
"2nd International Conference on Computational Intelligence, Communication, and Business Analytics, CICBA 2018",8.02,11.97,8.91,7.69,7.02,8.08,7.79,7.24,10.27
Automated creation of the pipeline digital twin during construction - Improvement to construction quality and pipeline integrity,4.81,3.52,7.89,4.62,5.53,5.98,4.76,5.4,6.11
Understanding customer voice of project portfolio management software,5.61,7.75,7.63,10.0,6.38,6.15,6.06,5.64,5.87
Measuring the impact of additional instrumentation on the skill of numerical weather prediction models at forecasting wind ramp events during the first Wind Forecast Improvement Project (WFIP),4.41,6.34,5.6,6.92,5.11,4.39,3.9,4.05,7.58
Developing a Framework for a Healthcare Data Science Hub; Challenges and Lessons Learned,8.02,7.75,7.12,9.23,7.66,6.68,8.66,4.79,7.82
A Practical Approach of Teaching Digitalization and Safety Strategies in Cyber-Physical Production Systems,4.81,1.41,6.87,6.54,6.17,6.33,7.36,4.66,7.33
Consumer driven product technology function deployment using social media and patent mining,4.41,3.52,6.87,6.54,5.32,5.27,8.23,5.4,6.36
Deploymentand life cycle management,6.01,7.04,6.11,6.15,6.6,5.1,5.19,5.28,7.09
Quantifying Model Uncertainty and Risk,9.82,6.34,9.41,10.38,10.0,9.84,10.82,8.96,12.96
Which startup to invest in: a personalized portfolio strategy,8.62,8.45,9.16,9.23,8.51,7.91,8.66,6.75,9.54
Unified business intelligence ecosystem: A project management approach to address business intelligence challenges,6.41,8.45,6.62,8.08,6.17,6.85,9.96,5.77,22.25
Leveraging Big Data from Open Source to Improve Software Project Management,4.81,2.11,3.56,5.77,4.04,4.39,5.19,3.56,5.13
Overestimation in operators budgets and long-term forecasting; A non-operator perspective,7.62,4.23,7.89,5.0,7.66,8.26,6.49,5.28,8.07
Big Data Analytics: A Trading Strategy of NSE Stocks Using Bollinger Bands Analysis,4.61,7.75,5.09,3.85,4.04,3.51,3.03,2.58,4.65
Interpretability of machine learning solutions in industrial decision engineering,4.81,4.93,4.33,3.85,4.47,5.62,5.63,4.42,6.6
Applied Probabilistic Calculus for Financial Engineering: An Introduction Using R,5.21,2.11,6.62,6.15,7.02,6.5,3.9,4.91,6.36
What Data Science Means to the Business,3.21,3.52,3.31,3.46,3.19,4.22,4.33,3.19,3.91
What Does the Volatility Risk Premium Say About Liquidity Provision and Demand for Hedging Tail Risk?,3.81,2.11,4.58,4.62,3.4,3.87,4.76,3.44,3.18
Implementing asset management for the U.S. Army Corps of Engineers Civil Works,6.61,9.15,8.14,7.31,7.66,7.21,5.63,6.13,8.56
Developing and rewarding teachers as educators and scholars: remarkable progress and daunting challenges,5.01,7.04,5.85,6.54,5.11,5.27,5.63,5.4,7.33
Many-objective optimization and visual analytics reveal key trade-offs for London's water supply,6.81,5.63,6.36,6.92,5.32,6.85,7.36,5.52,8.07
Conditional value at risk-based portfolio optimization using metaheuristic approaches,4.81,6.34,7.38,2.69,5.96,6.5,4.33,5.4,6.6
Business intelligence in the context of integrated care systems (ICS): Experiences from the ICS “gesundes kinzigtal” in germany,5.81,7.04,5.85,6.54,4.89,5.98,6.06,4.42,6.36
Introducing cybernomics: A unifying economic framework for measuring cyber risk,4.61,7.04,6.62,5.0,5.53,6.5,6.06,5.64,7.09
Alliance Portfolio Management: A Model Based on Dynamic Capabilities,5.01,9.86,6.62,10.38,6.17,4.92,9.09,5.4,6.6
BCG analysis as an innovative it application in industrial companies,4.61,9.86,5.09,5.38,4.04,5.1,6.06,3.8,6.85
Reducing preventable harm: Observations on minimizing bloodstream infections,5.21,6.34,5.34,6.15,6.81,6.15,7.79,5.52,8.31
NPD Risk Management: Proposed implementation to increase new product success,5.21,7.04,5.85,6.54,5.11,4.92,6.93,3.8,7.09
Differences in ERP Value between Iberian Manufacturing and Services SMEs,4.21,5.63,5.34,6.54,4.68,4.04,6.06,3.8,5.38
"IFIP WG 5.7 International Conference on Advances in Production Management Systems, APMS 2016",8.22,11.97,9.67,8.46,9.79,9.31,9.52,7.48,11.98
Big Data—How to Get Started,4.81,4.93,4.07,4.62,4.26,4.39,6.93,3.93,5.62
Estimating the value of decisions relating to managing and developing software-intensive products and projects,5.81,5.63,6.87,6.92,6.6,7.03,8.23,5.52,8.56
Understanding alliance portfolios using visual analytics,7.62,9.15,7.89,7.69,7.23,6.5,9.96,7.48,7.82
Quantifying the benefits of investment portfolio optimisation versus prioritisation for asset intensive organisations,4.81,4.23,5.6,5.0,6.38,5.1,5.63,4.54,6.36
Healthcare analytics in oncology: A framework to improve competitive advantage on healthcare,8.62,13.38,9.92,10.38,8.94,8.79,11.26,7.61,8.8
"OpenServ4P - Open, intelligent services for production systems; [OpenServ4P: Offene, intelligente Services für die Produktion]",4.01,4.23,5.85,2.69,3.83,4.22,5.19,3.44,4.16
Organizational considerations initiating a big data and analytics implementation,8.02,9.15,7.38,9.62,7.45,7.56,8.66,6.38,9.54
An empirical study into social success factors for agile software development,4.01,4.23,4.07,5.38,5.11,3.87,5.63,3.44,5.13
Critical infrastructure risk in NHS England: predicting the impact of building portfolio age,3.81,3.52,5.6,5.0,4.04,4.75,5.63,4.29,5.13
"10th International Conference on Management Science and Engineering Management, ICMSEM 2016",8.62,11.97,10.94,6.54,9.15,9.14,9.09,6.63,11.25
Assessing skills and capacity for informatics: Activities most commonly performed by or for local health departments,4.81,7.04,6.36,9.23,5.53,5.98,7.79,4.05,6.11
A framework for mining enterprise risk and risk factors from text documents,5.01,6.34,6.36,4.23,6.81,5.98,4.33,5.15,6.36
Concept for development project management by aid of predictive analytics,3.41,4.93,7.12,4.23,6.81,5.1,4.76,4.54,6.36
Data-driven demand response characterization and quantification,10.02,3.52,4.83,4.23,4.04,4.04,7.36,3.07,3.42
Resilience Analytics with Application to Power Grid of a Developing Region,5.01,9.15,8.65,6.92,6.38,7.91,9.96,6.01,7.33
Using learning analytics to assess project management skills on engineering degree courses,4.41,3.52,5.09,5.0,5.32,5.27,4.76,4.54,6.36
The evolution of Global Libraries’ performance measurement and impact assessment systems,7.01,10.56,7.12,8.85,7.66,7.56,9.09,6.5,8.8
Fundamental analysis and technical analysis integrated system for stock filtration,7.82,11.27,11.2,6.54,8.72,8.61,7.36,6.63,10.76
"2nd International Conference on Decision Support System Technology, ICDSST 2016",6.41,12.68,7.63,6.54,6.38,7.03,8.66,6.13,8.8
Improving software project outcomes through predictive analytics: Part 1,4.41,2.11,5.09,7.31,5.53,5.45,3.9,4.17,4.89
High-frequency financial statistics through high-performance computing,5.21,8.45,7.89,6.54,6.38,8.26,6.06,5.4,7.33
A simulation analytics approach to dynamic risk monitoring,2.2,3.52,3.05,2.69,3.19,2.99,1.73,2.82,3.42
An agile approach for academic analytics: a case study,6.61,6.34,7.12,6.92,7.02,6.33,9.09,6.38,8.07
IBM predicts cloud computing demand for sports tournaments,4.61,4.23,5.6,5.0,4.68,4.57,6.93,3.93,6.6
Revitalising energy capital project development and execution strategies: Lessons from the energy sector,5.21,5.63,4.33,5.77,5.11,4.57,6.93,4.29,4.16
The Need for a Modular Approach to IT Enablement,4.61,5.63,4.58,6.15,4.04,4.04,6.49,3.07,4.89
Leveraging internet of things technologies and equipment data for an integrated approach to service planning and execution,4.21,8.45,4.83,5.0,3.4,3.16,8.23,2.45,3.42
Effective information management - A - big- data driven road map for enterprise decision making,10.22,11.27,13.23,11.54,10.64,9.14,11.26,8.71,11.49
Modeling and qualitative evaluation of a management canvas for big data applications,6.21,4.93,5.85,5.38,6.6,4.92,6.93,4.05,6.6
Big Data Analytics in Support of the Decision Making Process,5.41,7.04,8.14,6.92,6.38,5.45,9.52,5.03,6.6
Acceptance factors for using a big data capability and maturity model,4.01,5.63,4.33,5.77,5.53,3.16,5.19,4.05,4.65
Testing analytics on software variability,3.41,2.82,4.83,5.77,4.04,4.92,5.63,4.29,2.93
Business intelligence capabilities as facilitators to achieve organizational agility,5.81,7.04,5.09,18.85,3.83,4.39,6.06,3.68,5.38
Fixed income analytics: Bonds in high and low interest rate environments,3.01,4.93,4.33,5.38,3.4,4.22,4.33,3.93,5.87
Putting asset data at the heart of organisational decision-making using an Integrated Workplace Management System,10.02,10.56,11.96,10.38,10.43,8.61,13.42,7.98,9.29
Resilience analytics and the public sector management of disasters,3.21,9.15,3.56,4.62,4.89,4.39,2.6,3.68,3.18
Updating business intelligence and analytics maturity models for new developments,6.21,5.63,5.34,6.15,4.26,4.39,5.63,4.42,7.82
Preventive controlling of product development projects by aid of predictive analytics-identifying hot spots within the deviation probability map,2.2,1.41,3.31,1.54,1.91,2.46,1.73,2.33,2.93
Ask the engineers: Exploring repertory grids and personal constructs for software data analysis,5.41,4.93,6.11,7.69,6.17,6.33,6.06,4.42,6.85
Industrial-Scale Ad Hoc Risk Analytics Using MapReduce,5.61,9.15,6.87,6.92,6.17,6.68,5.63,6.13,6.36
Monetizing risk helps tulsa optimize capital investment,2.2,2.82,3.05,2.31,2.55,3.69,2.16,3.07,2.69
Contribution of talent analytics in change management within project management organizations the case of the French aerospace sector,5.21,6.34,5.34,5.0,3.4,3.69,5.19,3.19,4.65
The dynamic model and prediction research on electricity forward price in competitive power market,5.01,4.93,6.36,4.23,5.11,4.22,4.76,3.93,6.11
Supporting the engineering of cyber-physical production systems with the AutomationML analyzer,4.41,0.7,6.36,5.0,3.62,4.22,4.33,4.05,5.13
Business intelligence: Finding nuggets in the Noise,2.4,4.93,3.05,3.85,2.34,1.76,2.6,2.09,3.91
Web-based integrated project controls system,5.61,6.34,6.87,7.31,6.17,6.33,4.76,5.28,8.07
Probabilistic Approach to Predicting Risk in Software Projects Using Software Repository Data,5.21,4.23,8.65,6.54,6.6,12.65,4.76,5.52,8.07
"Proceedings - IEEE International Enterprise Distributed Object Computing Workshop, EDOCW",5.01,7.75,7.63,10.38,7.66,5.98,6.49,5.52,9.05
Maximizing the U.S. Army's future contribution to global security using the Capability Portfolio Analysis Tool (CPAT),5.81,4.23,6.62,4.23,7.23,6.5,7.36,6.38,8.56
Collaborative creation with customers for predictive maintenance solutions on hitachi IoT platform,3.41,7.75,4.33,3.46,3.19,3.69,5.19,2.58,3.67
Usage patterns and data quality: A case study of a national type-1 diabetes study,3.21,2.11,4.83,5.38,4.04,4.39,3.9,3.56,5.38
Uncover the Truly Maximum Profit Opportunity of a Prospective M&A Deal: Next Generation M&A Financial Analysis Capability,2.2,0.7,2.8,1.15,3.4,2.99,2.6,2.82,2.93
Development and application of a stage-gate process to reduce the unerlying risks of it service projects,5.61,7.04,7.63,10.0,6.81,8.96,9.52,6.26,9.05
A descriptive analytics tool for improving project human resource management: The importance of discerning a project team member's sentiments,3.81,4.93,4.58,5.0,4.47,3.69,5.63,3.93,6.11
An investigation into how corporate real estate in the financial services industry can add value through alignment and methods of performance measurement,9.62,10.56,8.14,12.31,8.51,8.26,9.52,8.34,10.27
The right tone of VOS: Improving the argument for local community solar,4.41,7.75,5.85,7.69,5.74,5.98,8.66,3.93,5.13
"Adapting agile practices for data warehousing, business intelligence, and analytics",6.01,7.75,7.12,8.46,5.53,6.5,8.66,5.52,6.6
ACM International Conference Proceeding Series,5.21,9.15,7.12,8.46,7.02,6.5,7.36,5.03,6.85
Exploring the use of financial capacity as a predictor of construction company corporate performance: Evidence from South Africa,7.41,8.45,8.65,10.38,9.57,8.61,8.23,7.36,11.49
Why is Empowerment Important in Big Data Analytics?,4.41,4.93,6.11,5.38,3.83,4.57,5.19,4.91,4.4
Analytical Product Release Planning,4.61,4.93,7.12,8.46,6.81,6.33,10.39,5.4,7.58
Speeding up Risk Analyses of U.S. Flood Insurance Loss Data Using the Diffusion Map,3.41,4.23,4.07,3.85,4.47,4.57,4.33,5.03,5.87
Factors determining South African construction workers' prejudice towards and discrimination against HIV+ persons,7.82,9.15,6.36,10.38,7.02,7.21,9.09,6.63,8.56
The journey from epidemiology to health analytics,8.42,13.38,7.89,7.31,7.45,6.15,5.19,4.91,8.07
Suboptimal business intelligence implementations: Understanding and addressing the problems,6.01,5.63,5.85,10.0,6.6,5.45,6.49,6.13,9.05
The Social Justice Collaboratorium: Illuminating Research Pathways between Social Justice and Library and Information Studies,5.21,6.34,5.6,6.54,5.53,4.92,6.49,4.91,6.11
Disaster recovery planning and business continuity for informaticians,4.81,7.75,6.36,6.54,5.32,6.33,7.36,5.03,7.09
Digital revolution: How digital technologies will transform E&P business models in Asia-Pacific,8.42,14.79,9.41,9.62,9.15,8.96,9.52,6.99,11.25
"19th European Conference on Applications of Evolutionary Computation, EvoApplications 2016",4.81,4.23,6.11,3.85,6.6,5.1,5.19,5.4,7.82
Software Risk Modeling by Clustering Project Metrics,3.41,4.93,6.11,5.38,4.68,5.1,3.46,4.91,5.62
Health Information Management: Changing with Time,4.01,5.63,4.58,4.23,5.32,4.39,4.76,4.05,4.16
A business intelligence instrument for detection and mitigation of risks related to projects financed from structural funds,4.01,6.34,5.34,5.77,4.26,5.45,6.06,3.68,5.38
"5th International Symposium on Computational and Business Intelligence, ISCBI 2017",4.61,6.34,5.85,3.85,5.74,4.92,5.63,5.15,4.4
Predictive safety analytics: Inferring aviation accident shaping factors and causation,3.61,6.34,5.6,5.0,4.89,4.92,4.76,5.03,4.4
Predicting delays in software projects using networked classification,5.41,5.63,5.09,6.15,5.96,6.68,4.76,5.03,6.36
"11th IFIP TC 3 World Conference on Computers and Education, WCCE 2017",6.01,5.63,6.36,7.69,4.68,5.45,6.49,4.54,7.33
The importance of E-portfolios for effective student-facing learning analytics,5.61,7.75,5.09,7.31,4.26,5.8,5.63,4.66,6.6
Data Plan: Accessing analytics is essential when optimizing health care property portfolios,2.0,2.11,2.8,1.54,1.91,2.11,2.16,1.84,2.69
Survey on advisor intelligence through purchase patterns and sales analytics,3.61,4.93,4.07,3.46,2.55,3.69,3.46,2.7,4.89
Digital fitness: Four principles for successful development of digital initiatives,5.01,4.23,5.85,8.08,6.38,5.27,9.52,5.4,6.11
Proactive Construction Project Controls via Predictive Visual Data Analytics,3.21,3.52,4.07,3.85,5.32,4.57,4.76,4.29,3.67
The financial reward for environmental performance in the energy sector,3.21,4.93,4.58,5.38,4.04,4.22,5.19,3.19,4.4
"Data integration- Jefferson County’s journey to compile, track, and report on key performance indicators (KPI)",12.83,11.27,14.76,13.85,11.91,12.3,10.82,10.18,14.18
Executive Roundtable Series: Driving Higher ROI and Organizational Change,4.01,5.63,4.07,5.77,3.19,3.51,6.06,2.33,3.91
Preliminary Requirements and Architecture Definition for Integration of PLM and Business Intelligence Systems,4.21,9.86,5.34,8.08,4.68,4.04,6.06,3.44,5.38
Many-objective de Novo water supply portfolio planning under deep uncertainty,4.21,7.04,7.12,5.0,4.26,4.75,5.63,4.79,7.33
An analysis of the effectiveness of the M&A strategy of a diversified company (unilever group case study),6.41,5.63,6.62,6.54,6.17,6.85,7.79,4.79,6.11
ICEIS 2014 - Proceedings of the 16th International Conference on Enterprise Information Systems,5.21,7.04,6.62,6.15,5.74,5.27,3.9,4.91,4.65
"18th Americas Conference on Information Systems 2012, AMCIS 2012, Volume 5",17.43,23.24,21.63,23.85,19.79,19.68,25.11,17.79,23.23
"19th Americas Conference on Information Systems, AMCIS 2013, Volume 3",20.24,26.06,23.41,26.54,21.06,21.27,26.41,17.42,24.69
"International Conference on Information Systems, ICIS 2012, Volume 5",20.04,31.69,22.39,25.38,20.0,20.21,23.38,17.06,24.21
Accelerating Value-at-Risk estimation on highly parallel architectures,5.21,4.93,5.85,7.31,6.81,6.15,6.49,5.77,8.07
3DRC: A novel technique in evaluating stakeholders project views,4.41,5.63,5.85,5.38,6.38,6.33,6.06,4.91,5.38
"Blending technology, human potential, and organizational reality: Managing big data projects in public contexts",4.61,4.23,5.85,5.38,3.19,3.87,6.49,4.05,5.87
Predictive Analytics for Modeling UAS Safety Risk,5.21,4.23,6.36,9.23,5.32,5.45,4.76,5.4,7.09
Smarter financial management - An answer to the missing link between key performance indicators and budgeting decisions for smarter cities,6.41,7.04,8.14,9.62,7.02,6.85,9.96,6.26,7.82
"The World spatiotemporal analytics and mapping project (WSTAMP): Further progress in discovering, exploring, and mapping spatiotemporal patterns across the world's largest open source data sets",5.61,7.75,8.14,7.69,5.74,6.85,6.93,6.13,7.82
Web portals for financial analytics: How effective are they from the end-users' perspective,2.4,5.63,3.56,5.0,3.62,3.69,3.46,2.58,3.67
Towards a social networks model for online learning & performance,3.81,3.52,5.6,5.0,5.32,5.45,7.79,5.28,5.13
Agile analytics in the age of big data,3.21,3.52,2.29,4.62,3.4,2.64,2.6,1.96,3.18
"18th Americas Conference on Information Systems 2012, AMCIS 2012, Volume 6",17.43,23.24,21.63,23.85,19.79,19.68,25.11,17.79,23.23
Modeling a business intelligence system for investment projects,8.02,9.15,10.18,8.85,8.94,7.21,7.36,9.2,10.02
Accessing learning opportunities:The development and impact of an innovative Web-based progression tool,5.41,5.63,6.36,7.69,5.96,5.62,9.09,5.03,6.6
"10th International Workshop on Databases in Networked Information Systems, DNIS 2015",4.01,7.75,5.34,4.62,4.68,4.04,4.33,3.68,4.4
"19th Americas Conference on Information Systems, AMCIS 2013, Volume 5",20.24,26.06,23.41,26.54,21.06,21.27,26.41,17.42,24.69
Visual models' system of project management,6.41,7.04,9.16,6.54,6.17,7.91,6.49,9.94,7.33
On satisfying the android OS community: User feedback still central to developers' portfolios,4.61,4.93,5.34,10.0,5.53,6.33,4.76,4.79,6.85
"19th Americas Conference on Information Systems, AMCIS 2013, Volume 4",20.24,26.06,23.41,26.54,21.06,21.27,26.41,17.42,24.69
Many-objective robust decision making for water supply portfolio planning under deep uncertainty,5.01,6.34,6.36,5.77,5.11,5.8,6.49,5.4,7.58
"The MSH Effective and Efficient Utilization Committee: An Approach to Improving Care Quality, Value and Patient Experience",3.01,4.23,4.07,6.15,3.83,4.92,5.19,3.44,5.38
Data challenges in high-performance risk analytics,2.2,4.23,3.05,2.31,3.62,3.16,2.16,1.96,3.18
"International Conference on Information Systems, ICIS 2013, Volume 1",19.04,30.28,22.14,28.08,21.06,20.74,24.68,18.04,24.69
Maleku: An evolutionary visual software analysis tool for providing insights into software evolution,2.4,1.41,5.85,3.46,4.04,3.16,2.6,3.68,2.93
"How value is created from data: Experiences from the integrated health care system, “gesundes Kinzigtal” (healthy Kinzigtal)",3.21,4.23,4.07,3.85,3.19,3.16,4.33,2.45,4.4
"International Conference on Information Systems, ICIS 2013, Volume 4",19.84,30.99,23.16,29.23,21.91,21.27,25.54,19.02,25.18
Collaboration and social networking in higher education,4.41,7.04,4.83,3.46,5.11,4.39,6.06,2.82,6.11
The Handbook of News Analytics in Finance,6.01,7.75,5.34,7.69,6.38,6.85,6.49,5.52,7.33
The quest for unbiased rating of the intellectual capital: Value-based analytical detection and fuzzy-quantitative appraisal. Introducing the intellectual capital ontology analytics,5.21,7.04,5.6,6.54,4.89,4.92,4.76,5.15,7.33
The string prediction models as invariants of time series in the forex market,5.21,3.52,6.62,4.23,5.32,5.1,5.63,4.54,5.62
Harnessing the power of data in government through analytics,3.81,7.04,4.07,5.38,2.98,3.16,5.19,3.56,5.13
Validated wind power plant modelling for accurate KPI benchmarks,4.81,6.34,5.34,4.62,4.47,4.57,3.9,3.44,3.67
Navigating the housing downturn and financial crisis: Home appreciation and equity accumulation among community reinvestment homeowners,8.82,9.86,9.67,8.08,7.66,8.26,6.06,6.75,8.31
Research on the forecasting of construction accidents with the cubic exponential smoothing method,3.81,3.52,3.56,2.69,4.26,3.87,2.16,2.58,3.91
