,Title,Abstract,Criterios,Words,category_id
31,Data Science Roadmapping: Towards an Architectural Framework,"The availability of big data and related technologies enables businesses to exploit data for competitive advantage. Still, many industries face obstacles while leveraging data science to overcome business problems. This paper explores the development of a roadmapping approach to address data science challenges. Towards this goal, we customize technology roadmapping by synthesizing roadmapping, big data, data science, and data-driven organization literature. The resulting data science roadmapping approach links business strategy with data-related, technological, and organizational resources. It also enables communication, stakeholder buy-in, and project prioritization. While most of the existing studies illustrate prebuilt roadmaps, this study focuses on the process of roadmapping. The application of the roadmapping process rather than a particular roadmap provides the benefits above. © 2020 IEEE. Data Science Roadmapping: Towards an Architectural Framework",Otros,availability big   technology enables business exploit  competitive advantage still many industry face obstacle leveraging  science overcome business problem  explores development roadmapping  address  science challenge  goal customize technology roadmapping synthesizing roadmapping big   science driven  literature resulting  science roadmapping  link business strategy  technological  resource  enables communication stakeholder buyin  prioritization  study illustrate prebuilt roadmaps study focus process roadmapping application roadmapping process rather particular roadmap provides benefit ieee  science roadmapping  architectural frame,4
32,Business Value Creation Through Project Management Based on Big Data Approach,"In the era of big data, the high level of businesses’ digitalization, and new technology development in various fields, awash companies in a flood of massive amounts of data. Dealing with that fact is non more an option. Companies have to reexamine the way they do business in order to gain benefits from big data. Consequently, they have to review their approach of managing projects in order to create the added value. For the purpose of assessing this issue, we have adopted a research approach built on two phases. In the first, we have performed a systematic literature review to spot the gaps in the current research. The results have revealed that so far, no scientific work has discussed how companies can create business value through project management in a big data context. These results have also shown significant contributions of the research community on how big data contributes to value creation in organizations. In the second, we have suggested an approach to fills the identified gap by proposing a framework that support project management process in big data environment. © 2022 International Information and Engineering Technology Association. All rights reserved. Business Value Creation Through Project Management Based on Big Data Approach",Otros, big  high level business digitalization  technology development various field awash company flood massive amount  dealing fact  option company reexamine  business  gain benefit big  consequently review  managing   create added value  assessing issue adopted research  built  phase  performed systematic literature review spot   research result revealed  scientific  discussed company create business value   big  context result  shown significant contribution research community big  contributes value creation  second suggested  fill identified  proposing frame support   process big  environment international information engineering technology association right reserved business value creation   based big  ,4
33,Probabilistic Approach to Predicting Risk in Software Projects Using Software Repository Data,"Although the factors that need to be focused on for a successful software project appear to be difficult to define, risk management has become one of the key activities for achieving such success because significant risk is involved in each software development phase. Software project failures are often a result of insufficient and ineffective risk information regarding the future. To overcome this, software risk prediction should be performed in advance to allow project managers insight into providing more valuable information for decision making, such as scope coverage, resource allocation, and schedule changes. In this research, we propose a risk prediction model from the perspective of quality using a software repository. We evaluated the risk threat level by mapping some defect attributes that exist in the defect lifecycle, defined their risk threat transition states, and applied a Markov chain for predicting the potential risk level. We evaluated the proposed approach using practical real-industry mobile software projects. The experimental results confirm that our approach is applicable to software threat risk estimation. © 2015 World Scientific Publishing Company. Probabilistic Approach to Predicting Risk in Software Projects Using Software Repository Data",Manejo de riesgo,although factor   successful software  appear difficult define risk  become    achieving success significant risk involved software development phase software  failure often result insufficient ineffective risk information regarding future overcome software risk prediction performed advance allow  manager insight providing valuable information decision  scope coverage resource allocation schedule change research propose risk prediction model perspective quality using software repository evaluated risk threat level mapping defect attribute exist defect lifecycle defined risk threat transition state applied markov chain predicting potential risk level evaluated proposed  using practical realindustry mobile software  experimental result confirm  applicable software threat risk estimation world scientific publishing company probabilistic  predicting risk software  using software repository ,2
34,Best practices in structuring data science projects,"The goal of Data Science projects is to extract knowledge and insights from collected data. The focus is put on the novelty and usability of the obtained insights. However, the impact of a project can be seriously reduced if the results are not communicated well. In this paper, we describe a means of managing and describing the outcomes of the Data Science projects in such a way that they optimally convey the insights gained. We focus on the main artifact of the non-verbal communication, namely project structure. In particular, we surveyed three sources of information on how to structure projects: common management methodologies, community best practices, and data sharing platforms. The survey resulted in a list of recommendations on how to build the project artifacts to make them clear, intuitive, and logical. We also provide hints on tools that can be helpful for managing such structures in an efficient manner. The paper is intended to motivate and support an informed decision on how to structure a Data Science project to facilitate better communication of the outcomes. © 2019, Springer Nature Switzerland AG. Best practices in structuring data science projects",Manejo de riesgo,goal  science  extract knowledge insight collected  focus  novelty usability obtained insight however impact  seriously reduced result communicated well  describe mean managing describing outcome  science   optimally convey insight gained focus main artifact nonverbal communication namely  structure particular surveyed three source information structure  common  methodology community best practice  sharing platform survey resulted list recommendation build  artifact  clear intuitive logical  provide hint tool  managing structure efficient manner  intended motivate support informed decision structure  science  facilitate better communication outcome springer nature switzerland  best practice structuring  science ,2
35,Key success factors in Business Intelligence,"Business Intelligence can bring critical capabilities to an organization, but the implementation of such capabilities is often plagued with problems. Why is it that certain projects fail, while others succeed? The aim of this article is to identify the factors that are present in successful Business Intelligence projects and to organize them into a framework of critical success factors. A survey was conducted during the spring of 2011 to collect primary data on Business Intelligence projects. Findings confirm that Business Intelligence projects are wrestling with both technological and non-technological problems, but the non-technological problems are found to be harder to solve as well as more time consuming than their counterparts. The study also shows that critical success factors for Business Intelligence projects are different from success factors for Information Systems projects in general. Business Intelligences projects have critical success factors that are unique to the subject matter. Major differences can be found primarily among non-technological factors, such as the presence of a specific business need and a clear vision to guide the project. Success depends on types of project funding, the business value provided by each iteration in the project and the alignment of the project to a strategic vision for Business Intelligence at large. Furthermore, the study provides a framework for critical success factors that, explains sixty-one percent of variability of success for projects. Areas which should be given special attention include making sure that the Business Intelligence solution is built with the end users in mind, that the Business Intelligence solution is closely tied to the company's strategic vision and that the project is properly scoped and prioritized to concentrate on the best opportunities first. Key success factors in Business Intelligence",Otros,business intelligence bring critical capability  implementation capability often plagued problem certain  fail others succeed  article identify factor present successful business intelligence  organize frame critical success factor survey conducted spring collect primary  business intelligence  finding confirm business intelligence  wrestling technological nontechnological problem nontechnological problem found harder solve well  consuming counterpart study  show critical success factor business intelligence  different success factor information system  general business intelligence  critical success factor unique subject matter major difference found primarily among nontechnological factor presence specific business  clear vision guide  success depends type  funding business value provided iteration  alignment  strategic vision business intelligence large furthermore study provides frame critical success factor explains sixty percent variability success  area given special attention include  sure business intelligence solution built   mind business intelligence solution closely tied company strategic vision  properly scoped prioritized concentrate best opportunity   success factor business intelligence,4
36,"Data science and artificial intelligence in project management: The past, present and future","The contemporary landscape of Project Management is continually morphing as a response to the changing demands as well as the availability of developing technology. This article discusses and uncovers the current state of Data Science and Artificial Intelligence in relation to the Project Management sector. Drawing from this context, the possible future applications and uses are then delineated. Several trends are identified, and the overall findings are synthesized to provide a realistic impression of what the future topography of Project Management holds. The increasingly sophisticated applications of technology have been found to assist in streamlining the current industry-standard procedures. © 2020 Editora Mundos Sociais. All rights reserved. Data science and artificial intelligence in project management: The past, present and future",Manejo de gobernanza,contemporary landscape   continually morphing response changing demand well availability developing technology article discus uncovers  state  science artificial intelligence relation   sector drawing context possible future application  delineated several trend identified overall finding synthesized provide realistic impression future topography   hold increasingly sophisticated application technology found assist streamlining  industrystandard procedure editora mundos sociais right reserved  science artificial intelligence   past present future,3
37,Data-driven demand response characterization and quantification,"Analysis of load behavior in demand response (DR) schemes is important to evaluate the performance of participants. Very few real-world experiments have been carried out and quantification and characterization of the response is a difficult task. Nevertheless it will be a necessary tool for portfolio management of consumers in a DR framework. In this paper we develop methods to quantify and characterize the amount of DR in a load. The contribution to the aggregated load from each household is quantified on a daily basis, showing the potential variability of the response in time. Clustering on the average values and standard deviation of the contribution regroups households with the same average response. Independent Component Analysis (ICA) is used to characterize different DR delivery profiles. © 2017 IEEE. Data-driven demand response characterization and quantification",Otros,analysis load behavior demand response  scheme important evaluate performance participant realworld experiment carried quantification characterization response difficult task nevertheless necessary tool   consumer  frame  develop method quantify characterize amount  load contribution aggregated load hohold quantified daily basis showing potential variability response  clustering average value standard deviation contribution regroups hohold average response independent compnt analysis   characterize different  delivery profile ieee driven demand response characterization quantification,4
38,Data science approach for it project management,"Majority of the IT companies realized that ability to analyse and use data, could be one of the key factors for increasing of number of successful projects, portfolios, programs. Key performance indicators based on data analysis helps organizations be more prosperous in a long term perspective. Also, statistical data are very useful for monitoring and evaluation of project results which are very important for managers, delivery directors, CTO and others high level management of company. The Data Science methods could make more efficient project management in several of business problems. Analysis of historical data from the project life-cycle based on Data Science models could provide more efficient benefits for different stakeholders. Differential of the project data vector with target as an integral evaluation of the project success which allow for the complex correlations between separate features. Therefore, the influence of features importance and override creatures could be decreased on the target. This study propose new approach based on Data Science providing more efficient and accurately project management, taking into account best practices and project performance data. © 2019 Janis Grabis, Bohdan Haidabrus, Serhiy Protsenko, Iryna Protsenko, Anna Rovna. Data science approach for it project management",Monitoreo y control de portafolio,majority company realized ability analyse      factor increasing number successful   program  performance indicator based  analysis   prosperous long term perspective  statistical   monitoring evaluation  result important manager delivery director  others high level  company  science method   efficient   several business problem analysis historical   lifecycle based  science model  provide efficient benefit different stakeholder differential   vector target integral evaluation  success allow complex correlation separate feature therefore influence feature importance override creature  decreased target study propose   based  science providing efficient accurately   taking account best practice  performance  janis grabis bohdan haidabrus serhiy protsenko iryna protsenko anna rovna  science   ,5
39,Visual models' system of project management,"This article describes the project management problems complex and according visual methods applied in order to solve them. A systematic approach to project management and complex objects visualization problem solving is proposed. The article considers the problem of business graphics as modern techniques of computational geometry and scientific visualization, that aims the formation of a geometric model of the project initial data. Methods of visual analytics became popular in recent years and are used as a basic approaches to solve problems in the project management area, to those practitioners pay a lot of attention. Application of visual and instrumental analysis, using original software developed by the authors is proposed. The technological sequence in order to obtain the project management problem visual solution for managers is given; moreover, recommendations for the use of visual analytics methods to determine the necessary intervention in the problem situation arising in the process of project management are given. Decision making software tools for the project management tasks based on graphical analysis of the problem situation and on formulating recommendations for the decision making person are presented in the paper. Visual models of structural and risk analysis, calendar, resources, investments and financial planning are presented.This work is the author's review of methods of visual analysis in the sphere of project management. © 2014, National Research Nuclear University. All rights reserved. Visual models' system of project management",Alineamiento estatégico,article describes   problem complex according visual method applied  solve systematic    complex object visualization problem solving proposed article considers problem business graphic modern technique computational geometry scientific visualization  formation geometric model  initial  method visual analytics became popular recent year  basic  solve problem   area practitir   attention application visual instrumental analysis using original software developed author proposed technological sequence  obtain   problem visual solution manager given moreover recommendation  visual analytics method determine necessary intervention problem situation arising process   given decision  software tool   task based graphical analysis problem situation formulating recommendation decision  person presented  visual model structural risk analysis calendar resource investment financial planning presentedthis  author review method visual analysis sphere   national research nuclear university right reserved visual model system  ,0
40,Business intelligence capabilities as facilitators to achieve organizational agility,"Today's business environment is characterized by fast and unexpected changes, many of which are driven by technological advancement. In such environment, the ability to respond effectively and adapt to the new requirements is not only desirable but essential to survive. Comprehensive and quick understanding of intricacies of market changes facilitates firm's faster and better response. Two concepts contribute to the success of this scenario; organizational agility and business intelligence (BI). As of today, despite BI's capabilities to foster organizational agility and consequently improve organizational performance, a clear link between BI and organizational agility has not been established. In this paper we argue that BI solutions have the potential to be facilitators for achieving agility. We aim at showing how BI capabilities can help achieve agility at operational, portfolio, and strategic levels. Business intelligence capabilities as facilitators to achieve organizational agility",Manejo de gobernanza,today business environment characterized fast unexpected change many driven technological advancement environment ability respond effectively adapt  requirement desirable essential survive comprehensive quick understanding intricacy market change facilitates firm faster better response  concept contribute success scenario  agility business intelligence  today despite  capability foster  agility consequently improve  performance clear link   agility established  argue  solution potential facilitator achieving agility  showing  capability  achieve agility operational  strategic level business intelligence capability facilitator achieve  agility,3
41,Neural network based framework for optimization of enterprise resource planning,"Enterprise resource planning (ERP) systems are comprehensive information technology packages which aim towards managing and integrating all the business functions within a company. ERP is built on a totally integrated unique data warehouse. Business intelligence may be created based on the information stored in the data warehouse, to enable efficient management and operations monitoring of all areas of the organization. This paper introduces a new approach that employs soft computing (SC) techniques towards automatic optimization of the management decision making process which allows for an efficient strategic management of the company. Neural network based framework for optimization of enterprise resource planning",Otros,enterprise resource planning  system comprehensive information technology package   managing integrating business function  company  built totally integrated unique  wareho business intelligence  created based information stored  wareho enable efficient  operation monitoring area   introduces   employ soft computing  technique  automatic optimization  decision  process allows efficient strategic  company neural  based frame optimization enterprise resource planning,4
42,Modeling a business intelligence system for investment projects,"The phases of evaluation and selection of investment projects require marketing, technical and financial information analysis before the decisions are made. In order to meet strict legal environmental and fiscal regulations it is necessary to assess the environmental and social impact. These analysis may indicate alternative sites, models, technologies, and methods of implementation as solutions for executing the project, which often involve higher costs, and because delays in the feasibility analysis and project selection. The purpose of this empirical research is to reduce the effort and duration of the selection and evaluation of projects and project portfolio optimization, increasing the efficiency and accuracy of budget implementation and controlling in accordance with the investment strategy of the company. The results consist of a set of requirements for a specific business intelligence system, designed to improve the operational flow and the performance of the planning process, and an analysis of significant factors underlying performance differences between projected and actual achievements, to define the parameters of the model. © 2015,Academy of Economic Studies, All right reserved. Modeling a business intelligence system for investment projects",Alineamiento estatégico,phase evaluation selection investment  require marketing technical financial information analysis decision made  meet strict legal environmental fiscal regulation necessary  environmental social impact analysis  indicate alternative site model technology method implementation solution executing  often involve higher cost delay feasibility analysis  selection  empirical research reduce effort duration selection evaluation    optimization increasing efficiency accuracy budget implementation controlling accordance investment strategy company result consist  requirement specific business intelligence system designed improve operational flow performance planning process analysis significant factor underlying performance difference  actual achievement define parameter model academy economic study right reserved modeling business intelligence system investment ,0
43,Corporate Governance Efficiency: Automation of Corporate Governance Procedures,"Since the time of the first corporations, shareholders have expected boards to manage corporate governance processes in the best way. At the same time, the era of digital technology can significantly increase the effectiveness of corporate governance procedures through automation of corporate governance procedures as business processes. The board of directors and the corporate secretary can rely on performance indicators and manage the effectiveness of corporate governance processes. This chapter discusses opportunities for improving the business processes, including automation and analytics. The author considers approaches to project management of corporate governance procedures automation and its limitations. © 2022 by IGI Global. All rights reserved. Corporate Governance Efficiency: Automation of Corporate Governance Procedures",Manejo de riesgo,since   corporation shareholder expected board manage corporate governance process best    digital technology significantly increase effectiveness corporate governance procedure automation corporate governance procedure business process board director corporate secretary rely performance indicator manage effectiveness corporate governance process chapter discus opportunity improving business process including automation analytics author considers    corporate governance procedure automation limitation  global right reserved corporate governance efficiency automation corporate governance procedure,2
68,Data assessment model for strategic management,"A data-oriented culture enables new ways of building competitive advantage, but also requires new type of managerial skills. Despite of fast-growing attention to data assets, there are very few managerial tools for the purpose. In this paper, we propose a new data assessment model for strategic management. The model makes the organization's analytical capabilities and development needs transparent. The model consists of three phases and uses an easily communicated four-field model for mapping existing data and discovering new possibilities. The model helps to identify what datasets the organization could use in analytics and to assess them according to their strategic importance. Therefore, organization's development resources can be targeted effectively. The relevancy of the model was discovered during empirical studies with regional organizations on business analytics maturity. Data assessment model for strategic management",Monitoreo y control de portafolio,oriented culture enables   building competitive advantage  requires  type managerial skill despite fastgrowing attention  asset managerial tool   propose   assessment model strategic  model   analytical capability development  transparent model consists three phase  easily communicated fourfield model mapping   discovering  possibility model  identify sets    analytics  according strategic importance therefore  development resource targeted effectively relevancy model discovered empirical study regional  business analytics maturity  assessment model strategic ,5
