Title,Alineamiento estatégico,Manejo de valor,Manejo de riesgo,Manejo de gobernanza,Otros,Monitoreo y control de portafolio
A conceptual framework for interdisciplinary decision support project success,6.58,16.02,10.98,15.72,9.45,11.82
Early determination of Optimal Test Flows with Requirements Analytics,7.31,14.09,12.85,14.85,10.88,13.85
Grouping and labeling in digital learning portfolios,4.53,11.88,9.81,13.1,8.21,11.15
Cost Management Model Based on Multidimensional System,11.11,20.17,16.36,24.89,12.32,16.89
Financial analytics: Time series analysis impact of crude oil prices on automotive stock,9.06,20.17,16.36,20.09,10.47,18.92
Crafting and Shaping Knowledge Worker Services in the Information Economy,6.29,16.85,11.92,15.72,9.45,11.15
Patent data analytics for technology benchmarking: R-based implementation,7.16,14.36,9.81,14.41,10.27,13.18
Advancing injury and violence prevention through data science,6.58,16.3,13.55,17.03,11.7,13.18
"PRICE AND PERFORMANCE TRENDS FOR CELLULAR TRAIL CAMERAS EXPLAINED WITH A TIME TREND, GOOGLE KEYWORD TRENDS, AND A USE CASE OF SUBURBAN DEER MANAGEMENT",6.14,14.36,10.75,17.47,8.01,12.84
Data science education through education data: An end-to-end perspective,6.87,17.4,14.49,19.21,10.47,14.53
Applying process mining to support management of predictive analytics/data mining projects in a decision making center,7.16,15.47,10.98,23.14,9.86,14.86
Classification and Predictive Analysis of the Stocks Listed with NIFTY50,6.58,17.13,13.32,15.28,11.7,16.55
Adoption of Big Data analytics in construction: development of a conceptual model,10.67,21.27,13.55,23.14,11.5,17.91
Automatically learning compact quality-aware surrogates for optimization problems,8.04,16.02,13.32,15.72,11.09,15.88
Computational approaches and data analytics in financial services: A literature review,5.41,16.3,9.58,13.54,9.03,11.82
Pathways from data to value: Identifying strategic archetypes of analytics-based services,8.63,14.36,12.38,17.03,9.65,14.19
"8th World Conference on Information Systems and Technologies, WorldCIST 2020",8.04,18.23,14.02,17.47,12.53,14.19
"The good, the bad, and the ugly: Data-driven load profile discord identification in a large building portfolio",6.43,15.19,11.45,15.28,11.91,15.54
Deep learning for decision making and the optimization of socially responsible investments and portfolio,6.43,14.64,10.51,14.41,9.65,13.18
What technology is needed for future offshore development?,7.89,17.96,13.55,15.72,11.91,13.18
MACSPro 2020 - Proceedings of the Conference on Modeling and Analysis of Complex Systems and Processes 2020,3.65,11.88,8.64,13.54,7.39,10.47
Scale Can Improve the Clinical Value of Radiology Practices,6.43,17.68,11.92,16.59,9.65,11.82
A predictive risk model based on social network analysis,7.6,16.3,11.68,17.03,12.32,14.19
An Optimization Methodology to Quantify the Benefit in the Western Energy Imbalance Market Participation,4.82,11.6,9.11,12.66,8.21,11.82
A New Cluster Validity Index for Stock Clustering Based on Efficient Frontier,4.53,11.88,9.35,11.35,6.98,10.81
Business Intelligence Solution in Project Monitoring and Control; [Solucão de Business Intelligence na Monitorizacão e Controlo de Projetos],7.31,17.4,11.92,18.78,10.68,17.23
Big Data in Portfolio Allocation: A New Approach to Successful Portfolio Optimization,12.57,17.68,10.98,13.1,8.62,11.82
"7th International KES Conference on Smart Education and e-Learning, KES SEEL 2020",7.31,17.68,11.92,17.9,10.68,14.53
Portfolio Management by Normal Mean-Variance Mixture Distributions,6.29,15.19,10.98,12.23,9.45,12.84
"2nd IEOM European International Conference on Industrial Engineering and Operations Management, IEOM 2018",6.43,18.23,12.62,17.9,10.27,14.53
"Engineering project health monitoring: Application of automatic, real-time analytics to PDM systems",6.73,13.81,11.68,14.85,10.88,12.84
Reservoir performance benchmarking to unlock further development of Malaysian oil fields,7.31,16.02,16.12,13.1,11.7,14.53
Large scale anomaly detection in data center logs and metrics,5.99,12.71,10.05,22.27,9.03,9.8
A Fuzzy Index Tracking Multi-Objective Approach to Stock Data Analytics,6.58,16.02,11.68,13.97,10.06,13.51
Predicting Corporate Venture Capital Investment,6.73,19.34,11.45,20.52,11.09,14.86
"25th International Conference on Information and Software Technologies, ICIST 2019",7.31,18.23,11.45,22.71,11.09,15.54
Predicting Military Construction Project Time Outcomes Using Data Analytics,6.29,16.57,12.38,13.97,9.65,16.55
"3rd Workshop on Mining Data for Financial Applications, MIDAS 2018 and 2nd International Workshop on Personal Analytics and Privacy, PAP 2018 held at 18th European Conference on Machine Learning and Knowledge Discovery in Databases, ECML PKDD 2018",6.58,16.02,10.51,13.97,9.86,12.16
Hunting High and Low: Visualising Shifting Correlations in Financial Markets,7.75,19.61,11.45,18.78,11.09,12.5
"4th International Conference on Soft Computing in Data Science, SCDS 2018",7.89,21.82,13.08,13.97,11.29,14.19
A Methodology for Characterizing the Correspondence between Real and Proxy Applications,5.56,12.43,10.28,13.1,8.42,13.18
Nursing Value User Stories: A Value Measurement Method for Linking Nurse Contribution to Patient Outcomes,8.48,18.23,12.85,18.34,12.11,14.19
Smart beta floater portfolios in a rising interest rate regime,5.56,12.71,12.38,13.97,7.8,10.14
Application of Social Media Analytics in the Banking Sector to Drive Growth and Sustainability: A Proposed Integrated Framework,8.77,16.85,12.38,20.96,11.5,14.86
Towards a data mining methodology for the banking domain,7.16,15.47,10.51,15.28,10.27,12.16
CRESDA: Extending data landscape of learners,6.14,13.26,9.81,16.59,8.01,11.82
Identifying critical issues in smart city big data project implementation,6.58,15.47,12.15,12.23,11.29,11.82
Ai robo-advisor with big data analytics for financial services,7.75,18.51,14.02,15.28,11.29,13.18
General electric uses simulation and risk analysis for silicon carbide production system design,6.87,16.85,11.92,17.03,9.45,12.16
"6th World Conference on Information Systems and Technologies, WorldCIST 2018",10.38,22.1,14.49,19.21,11.5,15.88
Advances and challenges for scalable cloud-based infrastructure for building data analysis and simulation,10.09,20.72,16.59,21.4,15.61,20.61
Many-objective portfolio optimization approach for stormwater management project selection encouraging decision maker buy-in,6.58,18.51,12.15,16.16,9.45,14.86
Reexamining the procurement management knowledge area utilizing applied data analytics,6.29,16.3,10.75,14.85,8.42,11.82
Learning analytics for formative assessment in engineering education,7.16,17.96,13.32,17.03,11.91,15.54
"2nd International Conference on Emerging Technologies in Computing, iCETiC 2019",7.02,17.13,15.65,17.9,11.7,15.54
"2nd European and Mediterranean Structural Engineering and Construction Conference, EURO-MED-SEC-2 2018",8.33,19.89,15.42,20.52,11.7,17.57
"10th International Development Informatics Association Conference, IDIA 2018",5.41,17.13,10.51,21.83,9.24,10.81
Predicting students’ performance in a virtual experience for project management learning,6.73,14.36,13.79,15.72,11.7,17.23
Application of Business Intelligence instrumental tools for vis-ualization of key performance indicators of an enterprise in tel-ecommunications,9.06,16.85,14.25,21.4,12.11,17.91
A cybersecurity prospective on industry 4.0: Enabler role of identity and access management,11.26,21.82,18.69,22.71,16.02,18.92
"Proceedings of the International Conference on Industrial Engineering and Operations Management Pretoria, IEOM 2018",8.33,21.82,14.49,18.78,10.88,14.53
Modular grinding stations (MGS) for sustainable growth,6.87,17.13,11.21,17.47,10.68,13.18
Anticipating new directions in contract clinical outsourcing,5.26,13.26,9.11,12.66,7.19,9.8
Integration of big-data ERP and business analytics (BA),6.14,14.92,11.45,14.85,9.45,15.2
Achieving decision-making quality and organisational agility in innovation portfolio management in telecommunication 4.0,7.6,17.96,11.45,17.03,10.68,14.19
"12th International Scientific and Practical Conference on Environment. Technology. Resources, 2019",7.31,21.27,15.19,24.02,12.53,15.54
Collaborative workspace for employee engagement leveraging social media architecture,9.65,14.64,12.62,17.03,11.91,15.54
A predictive model to identify Kanban teams at risk,5.85,13.54,13.55,20.09,10.06,14.53
DataGMA: Data-driven culture creation in shale field operations,11.7,19.06,15.89,23.14,13.96,18.24
How the Center for Public Partnerships and Research Navigates Complex Social Problems to Make a Collective Difference,5.85,12.43,9.81,11.35,6.78,10.81
Innovative strategy decision and portfolio assets analysis instrument – Permanent model of on-line reserves and resources monitoring,8.63,20.17,16.82,20.09,13.76,18.24
Improvement of Hedging on Stock Price Volatility Based on Fundamental Securities in Emerging Financial Markets,3.36,11.6,8.88,11.35,5.34,10.14
Estimating cost and commercial risks of North Sea decommissioning projects: Lessons learnt for Asia pacific,10.38,22.93,16.59,18.34,14.78,16.22
"39th International Conference Information Systems Architecture and Technology, ISAT 2018",8.48,21.82,15.19,23.58,12.73,15.88
"2nd EAI International Conference on Smart Grid and Internet of Things, SGIoT 2018",4.24,12.98,9.11,14.85,7.8,11.15
Digital analog intelligence helps mitigate E&P risk,5.12,16.85,10.05,13.1,9.45,12.5
A Survey of Internet of Things and Big Data integrated Solutions for Industrie 4.0,6.29,14.64,10.28,15.72,10.06,11.15
The role of sensors and controls in transforming the energy landscape,9.06,15.47,10.51,19.21,10.47,14.53
"Proceedings of the 2018 Federated Conference on Computer Science and Information Systems, FedCSIS 2018",4.82,13.54,8.88,13.97,8.01,8.45
Capabilities and Readiness for Big Data Analytics,7.16,15.19,10.05,16.59,9.24,12.16
Financial Analytics,4.09,10.5,8.88,11.79,6.16,9.12
Strategic Markowitz Portfolio Optimization (SMPO): A Portfolio Return Booster,5.85,14.64,11.68,16.16,9.24,12.16
"PICMET 2018 - Portland International Conference on Management of Engineering and Technology: Managing Technological Entrepreneurship: The Engine for Economic Growth, Proceedings",7.6,19.06,12.15,19.65,11.09,14.19
Rating microfinance products consumers using artificial neural networks,6.43,12.71,10.75,15.72,9.24,10.47
APC forum: Governing the wild west of predictive analytics and business intelligence,6.43,14.92,10.98,20.52,8.62,13.51
Social media as an information source in finance: evidence from the community of financial market professionals in Poland,6.14,15.19,11.68,15.28,9.03,11.82
"8th International Symposium on Business Modeling and Software Design, BMSD 2018",8.33,17.13,12.85,21.83,11.91,13.85
"1st International conference on Computational Intelligence , Communications, and Business Analytics, CICBA 2017",4.97,16.3,9.11,12.66,6.98,10.81
Guidelines for Evaluating the Completeness of the Portfolio,6.87,18.78,13.08,18.78,8.62,13.85
An empirical investigation of the relationship between institutional aspect and supply chain strategy in relation to investment policy in Indonesia,5.7,14.92,10.51,17.03,7.6,12.16
The Opinion Management Framework: Identifying and addressing customer concerns extracted from online product reviews,5.85,15.75,10.75,14.41,8.42,10.47
Causal data science for financial stress testing,6.58,13.81,11.92,12.66,9.65,14.53
Using analytics to predict project management success,6.73,16.3,11.92,13.54,10.47,33.11
Portfolio Management by Time Series Clustering Using Correlation for Stocks,5.99,13.81,10.98,13.1,8.42,12.16
Evaluating firm's readiness for big data adoption: A hierarchical decision model,6.43,17.68,11.68,12.66,8.83,13.18
SmartCVC: A novel startup selection method for corporate venture capital,6.87,20.44,12.38,18.34,11.91,15.88
"Proceedings of the 3rd EU International Conference on Industrial Engineering and Operations Management, IEOM 2019",5.56,16.3,11.68,18.78,9.24,14.19
Text and Information Analytics for Fully Automated Energy Code Checking,7.46,16.85,13.32,19.65,11.5,14.53
"Contractual Procedures in the Construction Industry, Seventh Edition",6.14,16.85,11.68,19.21,8.21,12.5
Digital innovative manufacturing basing on formation of an ecosystem of services and resources,9.06,18.51,16.12,21.4,12.32,15.88
HR transformation within the hotel industry: building capacity for change,8.77,18.78,11.92,18.78,9.45,15.54
Big data services based on mobile data and their strategic importance,9.21,15.47,13.79,21.4,13.76,13.85
A Data-Driven Residential Transformer Overloading Risk Assessment Method,6.43,14.64,12.15,18.34,10.88,14.53
Quantitative Comparison of Big Data Analytics and Business Intelligence Project Success Factors,10.09,19.61,15.19,21.4,11.09,14.86
Managing Urban Complexity: Project and Risk Management and Polycentric and Participatory Governance,7.31,21.82,15.89,18.78,12.73,15.2
Metrics That Matter: Core Predictive and Diagnostic Metrics for Improved Project Controls and Analytics,6.58,18.23,12.85,16.59,12.11,19.93
Evaluation Criteria of Project Risk and Decision Making Through Beta Analysis and TOPSIS Towards Achieving Organizational Effectiveness,10.23,22.65,28.74,17.9,12.73,16.55
Production excellence is the platform to support digital oil field,9.06,16.57,12.62,23.14,12.94,15.54
What CPI = 0.85 Really Means: A Probabilistic Extension of the Estimate at Completion,5.85,12.98,13.32,12.23,9.86,14.86
Bringing Advanced Analytics to Manufacturing: A Systematic Mapping,5.12,13.81,8.88,11.35,8.01,10.81
"2nd International Conference on Computational Intelligence, Communication, and Business Analytics, CICBA 2018",8.19,19.06,13.32,19.65,11.7,14.53
Automated creation of the pipeline digital twin during construction - Improvement to construction quality and pipeline integrity,5.85,16.3,12.85,14.41,10.27,12.84
Understanding customer voice of project portfolio management software,7.02,18.23,12.62,14.85,10.27,16.22
Measuring the impact of additional instrumentation on the skill of numerical weather prediction models at forecasting wind ramp events during the first Wind Forecast Improvement Project (WFIP),6.14,17.13,10.05,17.03,9.45,14.86
Developing a Framework for a Healthcare Data Science Hub; Challenges and Lessons Learned,6.87,15.19,12.85,16.16,10.68,14.19
A Practical Approach of Teaching Digitalization and Safety Strategies in Cyber-Physical Production Systems,5.7,15.19,11.92,16.16,10.27,11.49
Consumer driven product technology function deployment using social media and patent mining,7.89,16.57,10.75,14.85,10.47,15.54
Deploymentand life cycle management,7.75,15.75,10.75,18.78,10.47,13.18
Quantifying Model Uncertainty and Risk,10.09,19.61,15.42,20.09,14.37,17.23
Which startup to invest in: a personalized portfolio strategy,8.19,20.44,14.25,18.78,10.27,16.55
Unified business intelligence ecosystem: A project management approach to address business intelligence challenges,7.31,37.02,13.32,18.78,10.47,14.19
Leveraging Big Data from Open Source to Improve Software Project Management,4.97,16.02,11.45,18.34,10.27,14.19
Overestimation in operators budgets and long-term forecasting; A non-operator perspective,7.6,17.68,14.95,13.1,12.73,16.22
Big Data Analytics: A Trading Strategy of NSE Stocks Using Bollinger Bands Analysis,5.12,12.98,9.58,14.41,7.6,11.49
Interpretability of machine learning solutions in industrial decision engineering,7.46,15.75,12.85,15.28,11.09,13.51
Applied Probabilistic Calculus for Financial Engineering: An Introduction Using R,6.87,14.92,12.85,13.1,10.47,13.51
What Data Science Means to the Business,5.12,12.43,9.58,19.21,7.6,9.8
What Does the Volatility Risk Premium Say About Liquidity Provision and Demand for Hedging Tail Risk?,6.58,12.98,10.51,14.85,8.83,11.82
Implementing asset management for the U.S. Army Corps of Engineers Civil Works,7.89,15.47,13.79,19.21,11.5,14.86
Developing and rewarding teachers as educators and scholars: remarkable progress and daunting challenges,7.89,18.23,11.21,15.28,8.21,13.85
Many-objective optimization and visual analytics reveal key trade-offs for London's water supply,7.46,17.68,14.25,20.09,10.06,12.84
Conditional value at risk-based portfolio optimization using metaheuristic approaches,7.31,16.02,13.79,16.16,9.24,12.84
Business intelligence in the context of integrated care systems (ICS): Experiences from the ICS “gesundes kinzigtal” in germany,7.02,15.19,11.92,16.16,10.47,12.5
Introducing cybernomics: A unifying economic framework for measuring cyber risk,5.99,16.85,13.08,13.54,9.45,12.5
Alliance Portfolio Management: A Model Based on Dynamic Capabilities,8.19,16.57,12.62,17.47,9.24,15.88
BCG analysis as an innovative it application in industrial companies,6.58,14.64,11.21,15.72,8.62,14.19
Reducing preventable harm: Observations on minimizing bloodstream infections,6.58,15.75,10.51,13.54,8.21,10.47
NPD Risk Management: Proposed implementation to increase new product success,6.14,15.19,12.62,18.78,10.47,11.15
Differences in ERP Value between Iberian Manufacturing and Services SMEs,5.41,14.36,10.05,12.23,8.83,12.5
"IFIP WG 5.7 International Conference on Advances in Production Management Systems, APMS 2016",9.36,19.61,15.42,20.52,12.32,17.91
Big Data—How to Get Started,6.43,16.02,11.45,14.41,8.83,10.81
Estimating the value of decisions relating to managing and developing software-intensive products and projects,7.6,17.4,13.55,14.41,12.32,17.23
Understanding alliance portfolios using visual analytics,10.82,18.51,13.32,21.83,12.94,17.23
Quantifying the benefits of investment portfolio optimisation versus prioritisation for asset intensive organisations,6.43,16.3,12.62,15.72,10.06,14.86
Healthcare analytics in oncology: A framework to improve competitive advantage on healthcare,9.36,20.44,15.89,20.52,12.94,18.92
"OpenServ4P - Open, intelligent services for production systems; [OpenServ4P: Offene, intelligente Services für die Produktion]",4.97,13.26,10.98,13.97,9.45,11.15
Organizational considerations initiating a big data and analytics implementation,8.04,17.68,12.85,19.21,10.68,12.84
An empirical study into social success factors for agile software development,5.26,15.19,9.35,15.28,9.24,13.85
Critical infrastructure risk in NHS England: predicting the impact of building portfolio age,6.58,12.71,10.51,13.97,8.83,11.49
"10th International Conference on Management Science and Engineering Management, ICMSEM 2016",7.02,20.99,14.72,17.47,12.73,15.2
Assessing skills and capacity for informatics: Activities most commonly performed by or for local health departments,6.58,15.19,12.38,24.02,9.65,13.18
A framework for mining enterprise risk and risk factors from text documents,6.43,17.68,12.38,15.72,9.65,14.19
Concept for development project management by aid of predictive analytics,6.58,13.81,11.21,16.59,11.7,16.55
Data-driven demand response characterization and quantification,5.26,11.6,9.11,13.54,13.55,11.49
Resilience Analytics with Application to Power Grid of a Developing Region,7.46,15.75,12.62,16.59,11.29,13.18
Using learning analytics to assess project management skills on engineering degree courses,6.14,18.78,13.55,16.16,11.5,16.22
The evolution of Global Libraries’ performance measurement and impact assessment systems,8.77,20.99,14.25,19.65,11.7,15.88
Fundamental analysis and technical analysis integrated system for stock filtration,9.8,21.55,15.89,18.78,13.14,17.57
"2nd International Conference on Decision Support System Technology, ICDSST 2016",8.19,19.34,12.85,15.72,10.47,14.86
Improving software project outcomes through predictive analytics: Part 1,5.56,14.64,11.45,17.9,9.86,16.22
High-frequency financial statistics through high-performance computing,7.89,19.89,16.59,17.9,11.5,15.54
A simulation analytics approach to dynamic risk monitoring,5.12,14.09,9.58,13.1,7.19,10.47
An agile approach for academic analytics: a case study,9.21,18.23,13.08,20.09,10.68,15.88
IBM predicts cloud computing demand for sports tournaments,6.73,14.64,11.92,13.54,10.27,13.51
Revitalising energy capital project development and execution strategies: Lessons from the energy sector,6.73,15.75,10.75,17.03,9.86,11.82
The Need for a Modular Approach to IT Enablement,6.58,13.26,10.28,18.34,8.62,11.49
Leveraging internet of things technologies and equipment data for an integrated approach to service planning and execution,6.14,12.71,9.11,17.03,8.83,11.49
Effective information management - A - big- data driven road map for enterprise decision making,11.55,19.89,16.36,24.89,14.58,18.92
Modeling and qualitative evaluation of a management canvas for big data applications,6.58,16.3,11.21,16.16,9.45,16.22
Big Data Analytics in Support of the Decision Making Process,7.16,15.47,11.21,20.09,10.06,14.53
Acceptance factors for using a big data capability and maturity model,6.87,14.92,10.05,19.65,9.03,13.18
Testing analytics on software variability,5.7,11.88,11.68,17.03,8.21,10.47
Business intelligence capabilities as facilitators to achieve organizational agility,6.87,14.36,10.75,34.93,9.86,11.15
Fixed income analytics: Bonds in high and low interest rate environments,5.7,15.75,10.98,15.72,8.42,10.81
Putting asset data at the heart of organisational decision-making using an Integrated Workplace Management System,12.28,18.51,16.12,26.2,17.04,20.95
Resilience analytics and the public sector management of disasters,5.7,12.71,12.15,17.47,8.01,12.16
Updating business intelligence and analytics maturity models for new developments,7.46,17.4,10.28,13.97,10.27,12.84
Preventive controlling of product development projects by aid of predictive analytics-identifying hot spots within the deviation probability map,3.65,12.71,9.81,13.1,8.42,11.82
Ask the engineers: Exploring repertory grids and personal constructs for software data analysis,5.99,17.4,11.68,18.78,10.06,15.2
Industrial-Scale Ad Hoc Risk Analytics Using MapReduce,7.6,14.09,13.08,18.34,9.45,12.84
Monetizing risk helps tulsa optimize capital investment,4.53,11.6,10.28,10.92,6.37,9.8
Contribution of talent analytics in change management within project management organizations the case of the French aerospace sector,5.56,15.75,9.35,15.28,8.83,11.49
The dynamic model and prediction research on electricity forward price in competitive power market,5.85,14.64,10.98,13.54,11.29,14.53
Supporting the engineering of cyber-physical production systems with the AutomationML analyzer,5.99,13.81,10.51,14.85,8.01,11.82
Business intelligence: Finding nuggets in the Noise,4.82,12.43,7.71,15.28,7.39,9.12
Web-based integrated project controls system,9.06,17.13,12.38,20.09,10.47,16.55
Probabilistic Approach to Predicting Risk in Software Projects Using Software Repository Data,7.75,16.3,24.3,18.34,11.91,18.92
"Proceedings - IEEE International Enterprise Distributed Object Computing Workshop, EDOCW",6.58,19.06,11.92,18.78,10.27,16.55
Maximizing the U.S. Army's future contribution to global security using the Capability Portfolio Analysis Tool (CPAT),8.77,18.23,13.55,14.85,10.47,15.88
Collaborative creation with customers for predictive maintenance solutions on hitachi IoT platform,5.41,12.71,9.81,13.97,8.62,11.82
Usage patterns and data quality: A case study of a national type-1 diabetes study,4.97,14.64,11.45,14.85,8.42,10.47
Uncover the Truly Maximum Profit Opportunity of a Prospective M&A Deal: Next Generation M&A Financial Analysis Capability,4.82,11.6,8.88,13.54,7.39,12.5
Development and application of a stage-gate process to reduce the unerlying risks of it service projects,8.04,16.85,15.19,22.27,10.06,13.18
A descriptive analytics tool for improving project human resource management: The importance of discerning a project team member's sentiments,7.02,15.75,11.21,14.41,7.8,15.2
An investigation into how corporate real estate in the financial services industry can add value through alignment and methods of performance measurement,10.38,17.96,14.49,19.21,10.47,15.2
The right tone of VOS: Improving the argument for local community solar,5.85,12.71,12.15,13.54,8.83,12.5
"Adapting agile practices for data warehousing, business intelligence, and analytics",8.04,15.47,12.62,17.47,9.86,13.51
ACM International Conference Proceeding Series,7.02,18.51,12.15,19.21,8.62,12.5
Exploring the use of financial capacity as a predictor of construction company corporate performance: Evidence from South Africa,9.8,22.65,15.42,18.34,11.7,19.59
Why is Empowerment Important in Big Data Analytics?,7.16,13.54,11.45,15.72,10.47,12.16
Analytical Product Release Planning,7.31,18.51,12.62,23.58,10.27,13.18
Speeding up Risk Analyses of U.S. Flood Insurance Loss Data Using the Diffusion Map,6.43,14.09,10.98,12.66,8.62,14.19
Factors determining South African construction workers' prejudice towards and discrimination against HIV+ persons,7.75,16.3,13.79,17.9,12.32,15.88
The journey from epidemiology to health analytics,7.75,16.85,13.08,18.34,11.09,13.51
Suboptimal business intelligence implementations: Understanding and addressing the problems,8.92,20.44,11.68,20.09,11.09,12.16
The Social Justice Collaboratorium: Illuminating Research Pathways between Social Justice and Library and Information Studies,7.02,16.85,11.21,17.03,8.62,13.85
Disaster recovery planning and business continuity for informaticians,6.73,14.09,12.62,14.85,9.65,11.49
Digital revolution: How digital technologies will transform E&P business models in Asia-Pacific,10.23,20.44,15.42,23.58,13.35,17.23
"19th European Conference on Applications of Evolutionary Computation, EvoApplications 2016",5.7,15.75,11.68,13.54,9.65,13.18
Software Risk Modeling by Clustering Project Metrics,6.87,14.09,11.68,22.71,9.45,13.85
Health Information Management: Changing with Time,4.68,13.26,10.51,14.85,7.19,12.16
A business intelligence instrument for detection and mitigation of risks related to projects financed from structural funds,5.99,13.81,11.45,15.72,8.62,10.14
"5th International Symposium on Computational and Business Intelligence, ISCBI 2017",6.73,13.54,10.98,13.97,9.24,13.18
Predictive safety analytics: Inferring aviation accident shaping factors and causation,5.99,14.36,10.51,13.54,9.03,11.82
Predicting delays in software projects using networked classification,6.73,15.47,13.55,15.28,9.65,16.22
"11th IFIP TC 3 World Conference on Computers and Education, WCCE 2017",7.02,17.96,12.62,17.9,9.86,12.5
The importance of E-portfolios for effective student-facing learning analytics,7.02,11.88,10.98,13.97,8.62,10.47
Data Plan: Accessing analytics is essential when optimizing health care property portfolios,3.07,10.22,7.94,10.48,5.75,9.12
Survey on advisor intelligence through purchase patterns and sales analytics,6.43,14.09,10.51,14.41,8.42,10.81
Digital fitness: Four principles for successful development of digital initiatives,7.16,16.02,11.92,18.78,9.24,14.19
Proactive Construction Project Controls via Predictive Visual Data Analytics,5.85,14.09,10.98,14.85,8.01,15.54
The financial reward for environmental performance in the energy sector,4.82,14.92,10.05,14.85,7.19,10.81
"Data integration- Jefferson County’s journey to compile, track, and report on key performance indicators (KPI)",12.43,22.65,19.39,27.95,17.86,21.28
Executive Roundtable Series: Driving Higher ROI and Organizational Change,4.39,12.15,8.64,13.54,7.39,9.46
Preliminary Requirements and Architecture Definition for Integration of PLM and Business Intelligence Systems,5.85,13.81,9.58,21.83,8.62,13.18
Many-objective de Novo water supply portfolio planning under deep uncertainty,6.14,15.19,11.68,13.97,9.24,11.15
An analysis of the effectiveness of the M&A strategy of a diversified company (unilever group case study),6.73,14.64,13.79,15.72,10.68,13.51
ICEIS 2014 - Proceedings of the 16th International Conference on Enterprise Information Systems,5.85,17.13,11.21,18.78,10.06,12.5
"18th Americas Conference on Information Systems 2012, AMCIS 2012, Volume 5",19.59,30.39,26.64,31.44,20.94,27.03
"19th Americas Conference on Information Systems, AMCIS 2013, Volume 3",17.69,33.98,25.23,33.62,23.2,27.7
"International Conference on Information Systems, ICIS 2012, Volume 5",16.67,31.49,26.17,33.19,23.0,24.66
Accelerating Value-at-Risk estimation on highly parallel architectures,8.04,14.92,13.79,13.97,9.03,13.18
3DRC: A novel technique in evaluating stakeholders project views,5.41,13.81,12.15,13.1,8.62,12.84
"Blending technology, human potential, and organizational reality: Managing big data projects in public contexts",6.14,13.26,10.28,17.03,8.62,9.8
Predictive Analytics for Modeling UAS Safety Risk,6.58,17.4,11.21,20.52,11.09,14.19
Smarter financial management - An answer to the missing link between key performance indicators and budgeting decisions for smarter cities,8.33,16.3,13.55,19.21,11.5,14.86
"The World spatiotemporal analytics and mapping project (WSTAMP): Further progress in discovering, exploring, and mapping spatiotemporal patterns across the world's largest open source data sets",8.48,14.09,11.68,17.47,10.27,12.5
Web portals for financial analytics: How effective are they from the end-users' perspective,5.56,12.43,8.88,12.66,6.57,11.49
Towards a social networks model for online learning & performance,6.29,15.19,10.51,21.83,9.03,13.18
Agile analytics in the age of big data,4.24,11.88,8.64,14.41,6.16,10.14
"18th Americas Conference on Information Systems 2012, AMCIS 2012, Volume 6",19.59,30.39,26.64,31.44,20.94,27.03
Modeling a business intelligence system for investment projects,11.84,22.65,15.42,19.21,12.32,17.57
Accessing learning opportunities:The development and impact of an innovative Web-based progression tool,7.75,17.13,12.85,13.1,10.27,13.18
"10th International Workshop on Databases in Networked Information Systems, DNIS 2015",6.14,15.47,9.81,17.9,9.03,10.47
"19th Americas Conference on Information Systems, AMCIS 2013, Volume 5",17.69,33.98,25.23,33.62,23.2,27.7
Visual models' system of project management,12.43,18.23,15.65,17.9,13.55,17.23
On satisfying the android OS community: User feedback still central to developers' portfolios,5.99,16.02,11.68,18.34,10.06,12.5
"19th Americas Conference on Information Systems, AMCIS 2013, Volume 4",17.69,33.98,25.23,33.62,23.2,27.7
Many-objective robust decision making for water supply portfolio planning under deep uncertainty,6.58,18.51,13.55,15.72,9.45,12.16
"The MSH Effective and Efficient Utilization Committee: An Approach to Improving Care Quality, Value and Patient Experience",5.56,14.09,10.51,11.79,7.19,10.47
Data challenges in high-performance risk analytics,3.07,11.6,8.64,10.92,6.37,9.8
"International Conference on Information Systems, ICIS 2013, Volume 1",18.27,31.22,24.3,32.75,21.77,22.97
Maleku: An evolutionary visual software analysis tool for providing insights into software evolution,5.7,12.43,9.11,20.52,8.21,13.85
"How value is created from data: Experiences from the integrated health care system, “gesundes Kinzigtal” (healthy Kinzigtal)",5.26,14.09,9.58,13.54,7.8,12.84
"International Conference on Information Systems, ICIS 2013, Volume 4",19.01,31.49,25.23,32.75,22.38,25.34
Collaboration and social networking in higher education,4.68,14.64,8.64,13.1,8.01,13.18
The Handbook of News Analytics in Finance,7.31,15.19,12.85,15.28,9.45,15.88
The quest for unbiased rating of the intellectual capital: Value-based analytical detection and fuzzy-quantitative appraisal. Introducing the intellectual capital ontology analytics,7.16,16.02,11.68,13.97,9.86,11.49
The string prediction models as invariants of time series in the forex market,5.85,14.92,11.45,14.41,11.29,12.84
Harnessing the power of data in government through analytics,7.02,12.15,8.41,13.97,6.57,9.8
Validated wind power plant modelling for accurate KPI benchmarks,5.7,14.09,11.21,13.54,8.62,12.84
Navigating the housing downturn and financial crisis: Home appreciation and equity accumulation among community reinvestment homeowners,8.92,17.96,15.42,15.28,12.73,16.89
Research on the forecasting of construction accidents with the cubic exponential smoothing method,3.95,12.15,8.64,10.92,8.62,14.86
High performance risk aggregation: Addressing the data processing challenge the Hadoop MapReduce way,5.12,12.15,11.45,15.72,9.03,12.16
