Title,Link,Abstract,Name,Category,Criteria
Corporate Governance of the Project-Oriented Company Contributing to Its Sustainable Development,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166092230&doi=10.4324%2f9781315554785-17&partnerID=40&md5=c9331940432bd95b54b8c04a0f3a7cc6,"Different corporate governance structures are appropriate for different company types. Given the specifics of the project-oriented company, which manages unique business processes of medium to large scope by projects and by programs, specific governing s",Governance  - Roles,Governance,Roles
Exploring the roles of portfolio steering committees in project portfolio governance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894261749&doi=10.1016%2fj.ijproman.2013.07.004&partnerID=40&md5=09b9249ae7fab0486381389ea0192fee,"Governing project portfolios engages different actors in organizations including portfolio managers, portfolio officers, top managers, and others who may team up as portfolio steering committees. While portfolio steering committees play a regular role in",Governance  - Roles,Governance,Roles
Improving the realization of IT demands: A design theory for end-to-end demand management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886460134&partnerID=40&md5=3a66da0060c692e947357ee8b14a1e95,"With the growing penetration of IT and its critical role within organizations, the number of requests for IT services and solutions is steadily increasing. However, many companies lack a consolidated view of all these requests or demands. They also strug",Governance  - Roles,Governance,Roles
"Governance and governmentality for projects: Enablers, practices, and consequences",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977661708&doi=10.4324%2f9781315683294&partnerID=40&md5=24a63eb69df51af0edbb5b2f9eb8044f,"This research-based book takes an organization-wide perspective to describe the governance and governmentality for projects in organizations. Governance of projects defines and directs the ways managers of projects, programs, and project portfolios carry",Governance  - Roles,Governance,Roles
"International Conference on Information Systems, ICIS 2012, Volume 5",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886550717&partnerID=40&md5=2441a03d215ae7a1b04bc5151531cada,The proceedings contain 308 papers. The special focus in this conference is on Information Systems. The topics include: Heterogeneity in IT landscapes and monopoly power of firms; community ecology for innovation concept; peer influence in a very large s,Monitoring and control - Capabilities and performance,Monitoring and control,Capabilities and performance
Balancing the portfolio of urban and public projects with distance-dependent coverage facilities,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116974603&doi=10.24200%2fSCI.2019.52470.2730&partnerID=40&md5=8ca7e933c8d7612a8481103e5563d724,"The portfolio of urban and public projects should be balanced in terms of completion time, districts, and strategic objectives. For this purpose, we suggest a mixed-integer nonlinear programming model based on the goal programming approach. Projects are ",Monitoring and control - Capabilities and performance,Monitoring and control,Capabilities and performance
"15th Wuhan International Conference on E-Business, WHICEB 2016",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138749914&partnerID=40&md5=8cd99d2611a4f033bac6ebe13951e823,The proceedings contain 70 papers. The special focus in this conference is on E-Business. The topics include: An Empirical Research on Hotel Revenue Management Financial Performance Influencing Factors; an Empirical Research on the Evaluation System of C,Monitoring and control - Capabilities and performance,Monitoring and control,Capabilities and performance
"International Conference on Information Systems, ICIS 2012, Volume 4",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886483021&partnerID=40&md5=70b50ba9af00fc697b1ff4ef4921fad6,The proceedings contain 308 papers. The special focus in this conference is on Information Systems. The topics include: Heterogeneity in IT landscapes and monopoly power of firms; community ecology for innovation concept; peer influence in a very large s,Monitoring and control - Capabilities and performance,Monitoring and control,Capabilities and performance
"International Conference on Information Systems, ICIS 2012, Volume 1",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886536369&partnerID=40&md5=9ad75527585a4798835d4fbb73864ebf,The proceedings contain 308 papers. The special focus in this conference is on Information Systems. The topics include: Heterogeneity in IT landscapes and monopoly power of firms; community ecology for innovation concept; peer influence in a very large s,Monitoring and control - Capabilities and performance,Monitoring and control,Capabilities and performance
Object oriented Petri nets usage in project portfolio modeling domain,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898940691&partnerID=40&md5=da8dad1ce5f6215bf42635793b46c6c2,"The paper presents a way, how the Petri net technique, in concrete, Object Oriented Petri Nets (OO PN) can be applied in project management domain. There is shown the use of Object Oriented approach and concepts in project planning, organizing, monitorin",Monitoring and control - Financial monitoring and control,Monitoring and control,Financial monitoring and control
Project portfolio implementation under uncertainty and interdependencies: A simulation study of behavioural responses,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066887758&doi=10.1080%2f01605682.2019.1609890&partnerID=40&md5=9ecaafce0c56e73db4c071e8358d1be4,"Even though systems thinking has been highlighted in portfolio management theory, independent project control logic still dominates its implementation process. This paper constructs a system dynamics model for portfolio monitoring and control. Considerin",Monitoring and control - Financial monitoring and control,Monitoring and control,Financial monitoring and control
Optimal project portfolio selection with reinvestment strategy considering sustainability in an uncertain environment: a multi-objective optimization approach,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108621786&doi=10.1108%2fK-11-2020-0737&partnerID=40&md5=5459118c4bc044ed6d51e32528fdbf66,"Purpose: This study aims to develop a model for project portfolio selection considering organizational goals such as budgets, sustainability cash flow and reinvestment strategy under an uncertain environment. Design/methodology/approach: A multi-objectiv",Monitoring and control - Metrics for monitoring project portfolio,Monitoring and control,Metrics for monitoring project portfolio
Vaikuttavaa tutkimusta arviointikäytäntöjä julkisissa tutkimusorganisaatioissa: Helia ja SAMK,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750401679&partnerID=40&md5=6df2c8b7a208253e965583ffdc4ee3e0,"The role of the polytechnics (also referred to as ""universities of applied sciences"") in the Finnish innovation system has, from rather humble beginnings, steadily increased in importance. The development of their knowledge base has become an integral pa",Monitoring and control - Metrics for monitoring project portfolio,Monitoring and control,Metrics for monitoring project portfolio
Performance management systems for project management offices: A case-based study,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082745636&doi=10.1016%2fj.promfg.2020.01.397&partnerID=40&md5=80ec54f21ada102ede12639bfb60bd9c,"Project Management Offices (PMOs) are organizational structures in charge of managing and coordinating several simultaneous projects within companies. Due to the complexity of different projects' objectives, it's usual to simplify project indicators and ",Monitoring and control - Metrics for monitoring project portfolio,Monitoring and control,Metrics for monitoring project portfolio
"International Conference on Information Systems, ICIS 2012, Volume 5",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886550717&partnerID=40&md5=2441a03d215ae7a1b04bc5151531cada,The proceedings contain 308 papers. The special focus in this conference is on Information Systems. The topics include: Heterogeneity in IT landscapes and monopoly power of firms; community ecology for innovation concept; peer influence in a very large s,Monitoring and control - Metrics for monitoring project portfolio,Monitoring and control,Metrics for monitoring project portfolio
Data science approach for it project management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073035715&doi=10.17770%2fetr2019vol2.4163&partnerID=40&md5=d0ed9d89471e5b77666604b351747379,"Majority of the IT companies realized that ability to analyse and use data, could be one of the key factors for increasing of number of successful projects, portfolios, programs. Key performance indicators based on data analysis helps organizations be mo",Monitoring and control - Metrics for monitoring project portfolio,Monitoring and control,Metrics for monitoring project portfolio
Improving Project Control by Utilizing Predictive Data Analytic Models,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127909577&doi=10.1109%2fCSDE53843.2021.9718399&partnerID=40&md5=c0269d5235e367459b46e1b6a630948d,"Project progress is an apprehension for every project, as it indicates how the project is likely to meet the associated milestones. Utilizing collected data from archived projects can assist managers to envisage project progress. By leveraging the power of data analytics, this research attempts to highlight data trends based on data collected from 279 infrastructure projects in the UAE. Specifically, this research rigorously analyses the relationships between project budget, duration, and progress using K-means clustering techniques and hypothesis testing. We then provide predictive models using Autoregressive Integrated Moving Average - ARIMA and Multivariate regression models that allow managers to predict with a 99.15% accuracy the monthly progress of an infrastructure project over the next 3 months. This research paper provides project managers with a comprehensive framework that combines data analytics techniques with agility practices to predict short term project progress in order to take proactive measures on the different influencing factors.  © IEEE 2022.",Monitoring and control - Metrics for monitoring project portfolio,Monitoring and control,Metrics for monitoring project portfolio
Using analytics to predict project management success,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066975393&partnerID=40&md5=e26bf73d39d6f35ff9f6f5c6c3227cca,"IT projects normally face time and cost overruns challenges. Predicting which projects will not be completed by the expected end date (time overrun) and within the allotted number of hours (man-hours overrun) helps manage company's employee utilization and avoids overscheduling. This study applied a data analytics framework on IT project management dataset to predict the project completion time and overruns (in man-hours). We used linear regression and classification models to predict projects' performance and analyze the underlying factors causing project delay. Our predictive analysis used 131 variables which included 536 tasks, 138 resources, 69371 employee hours, 72 contractors that were assigned to 434 projects. We also calculated two new variables closeness and betweenness among project team members. Results showed that Decision Tree outperformed SVM, ANN, LDA, and logistic regression in predicting man-hours overrun. In addition, preliminary Social Network Analysis (SNA) indicates that Avg-closeness and Avg-betweenness did not improve prediction on the overall amount of time and man-hours overrun but improve the prediction on time overrun, but task, resource and contractor assignments variables were significant at p-value of .01. The models we used helps identify key predictors of project performance and provide insights into the company's resource management. ",Monitoring and control - Metrics for monitoring project portfolio,Monitoring and control,Metrics for monitoring project portfolio
Project performance analysis using hierarchical clustering method,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110948395&doi=10.46338%2fijetae0721_05&partnerID=40&md5=a5a0d2ff0252b6ac7ff108469898b30f,This paper deals with the project management performance analysis in automotive industry and usage of the advanced analytics to optimize the performance of the engineering projects within the vehicle manufacturing facility. The aim is to identify and mitigate the common causes of project delay (slippage) in various engineering projects that are independent of the technical discipline where a particular project belongs to. We have used the hierarchical clustering technique here to identify the sub-groups of similar projects and further deeply analysed those ones with the highest average slippage. © 2021 International Journal of Emerging Technology and Advanced Engineering. All rights reserved.,Monitoring and control - Metrics for monitoring project portfolio,Monitoring and control,Metrics for monitoring project portfolio
Data science approach for it project management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073035715&doi=10.17770%2fetr2019vol2.4163&partnerID=40&md5=d0ed9d89471e5b77666604b351747379,"Majority of the IT companies realized that ability to analyse and use data, could be one of the key factors for increasing of number of successful projects, portfolios, programs. Key performance indicators based on data analysis helps organizations be more prosperous in a long term perspective. Also, statistical data are very useful for monitoring and evaluation of project results which are very important for managers, delivery directors, CTO and others high level management of company. The Data Science methods could make more efficient project management in several of business problems. Analysis of historical data from the project life-cycle based on Data Science models could provide more efficient benefits for different stakeholders. Differential of the project data vector with target as an integral evaluation of the project success which allow for the complex correlations between separate features. Therefore, the influence of features importance and override creatures could be decreased on the target. This study propose new approach based on Data Science providing more efficient and accurately project management, taking into account best practices and project performance data. © 2019 Janis Grabis, Bohdan Haidabrus, Serhiy Protsenko, Iryna Protsenko, Anna Rovna.",Monitoring and control - Metrics for monitoring project portfolio,Monitoring and control,Metrics for monitoring project portfolio
Data assessment model for strategic management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906275152&partnerID=40&md5=619a9719fd015c72558b2b3baef79c3c,"A data-oriented culture enables new ways of building competitive advantage, but also requires new type of managerial skills. Despite of fast-growing attention to data assets, there are very few managerial tools for the purpose. In this paper, we propose a new data assessment model for strategic management. The model makes the organization's analytical capabilities and development needs transparent. The model consists of three phases and uses an easily communicated four-field model for mapping existing data and discovering new possibilities. The model helps to identify what datasets the organization could use in analytics and to assess them according to their strategic importance. Therefore, organization's development resources can be targeted effectively. The relevancy of the model was discovered during empirical studies with regional organizations on business analytics maturity.",Monitoring and control - Metrics for monitoring project portfolio,Monitoring and control,Metrics for monitoring project portfolio
Strategic alignment and value maximization for IT project portfolios,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900458839&partnerID=40&md5=cc50a8e2617fbba1a11b4b226bc6249e,"Managing project portfolios has been a challenge to many IT organizations due to the size and complexity of their initiatives that are often cross-functional, fast changing, and transformational in nature. Governance on soliciting, selecting, and monitor",Monitoring and control - Monitoring of portfolio risks,Monitoring and control,Monitoring of portfolio risks
MERI: METHODOLOGY FOR ESTIMATING COST AND TIME RISKS IN PROJECTS USING MACHINE LEARNING. APPLICATION TO OIL&GAS INFRASTRUCTURE; [MERI: METODOLOGÍA DE ESTIMACIÓN DE RIESGOS DE COSTE Y PLAZO EN PROYECTOS MEDIANTE MACHINE LEARNING. APLICACIÓN A INFRAESTRUCT,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150371539&partnerID=40&md5=5daf4558af7189cde3fb60241e1c5128,"Historically, cost overruns in construction projects have been a major problem. Nowadays, the magnitude of this problem is completely unsustainable with cases of ""billionaire"" cost overruns all over the world. Previous works stresses the role of risk man",Monitoring and control - Monitoring of portfolio risks,Monitoring and control,Monitoring of portfolio risks
Risk optimization for R&D project portfolios,https://www.scopus.com/inward/record.uri?eid=2-s2.0-22544441875&partnerID=40&md5=9e525d06482674d33976bcc0629341e4,"R&D projects typically exist in an environment that requires management to allocate resources (staff, space, and funds) across a limited number of projects. This process can have a significant impact on the future growth and profitability of the business",Monitoring and control - Monitoring of portfolio risks,Monitoring and control,Monitoring of portfolio risks
Including oil price uncertainty in development option selection taking the project portfolio into account,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085851834&doi=10.2118%2f195440-ms&partnerID=40&md5=c5428b351fac0cf90915fc19e63f3b44,"Oil price forecasting has been shown to be challenging if not impossible for the long-term. However, the oil price has a major impact on Exploration and Production projects. Historical Project Realized Oil Price (PROP) can be calculated for example proje",Monitoring and control - Monitoring of portfolio risks,Monitoring and control,Monitoring of portfolio risks
Towards risk-aware scheduling of enterprise architecture roadmaps,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067469122&doi=10.5220%2f0007799806960702&partnerID=40&md5=d637fcb7c1d4b6fe36de94844411e8e6,Enterprises need to keep their organisation aligned with their business objectives. Enterprise Architecture provides a way to identify the current and target states as well as defining the evolution roadmap taking the form of a complex project portfolio.,Monitoring and control - Monitoring of portfolio risks,Monitoring and control,Monitoring of portfolio risks
Optimal project portfolio selection with reinvestment strategy considering sustainability in an uncertain environment: a multi-objective optimization approach,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108621786&doi=10.1108%2fK-11-2020-0737&partnerID=40&md5=5459118c4bc044ed6d51e32528fdbf66,"Purpose: This study aims to develop a model for project portfolio selection considering organizational goals such as budgets, sustainability cash flow and reinvestment strategy under an uncertain environment. Design/methodology/approach: A multi-objectiv",Monitoring and control - Value reporting and analysis,Monitoring and control,Value reporting and analysis
Vaikuttavaa tutkimusta arviointikäytäntöjä julkisissa tutkimusorganisaatioissa: Helia ja SAMK,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750401679&partnerID=40&md5=6df2c8b7a208253e965583ffdc4ee3e0,"The role of the polytechnics (also referred to as ""universities of applied sciences"") in the Finnish innovation system has, from rather humble beginnings, steadily increased in importance. The development of their knowledge base has become an integral pa",Monitoring and control - Value reporting and analysis,Monitoring and control,Value reporting and analysis
"ROI, the business case, and bottom-line impact",https://www.scopus.com/inward/record.uri?eid=2-s2.0-4444368540&partnerID=40&md5=63cd7c9c8359efdf2d49a2b3e04a9b6a,The issue of analyzing information technology (IT)-related projects for specific evidence of business value and return on investment (ROI) is discussed. ROI calculations improve project selection and better business cases lead to strong IT portfolios. Th,Monitoring and control - Value reporting and analysis,Monitoring and control,Value reporting and analysis
Including oil price uncertainty in development option selection taking the project portfolio into account,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085851834&doi=10.2118%2f195440-ms&partnerID=40&md5=c5428b351fac0cf90915fc19e63f3b44,"Oil price forecasting has been shown to be challenging if not impossible for the long-term. However, the oil price has a major impact on Exploration and Production projects. Historical Project Realized Oil Price (PROP) can be calculated for example proje",Monitoring and control - Value reporting and analysis,Monitoring and control,Value reporting and analysis
USING MONTE CARLO SIMULATION TO QUANTIFY THE COST IMPACT OF SYSTEMIC RISK FACTORS IN A PROJECT PORTFOLIO: A CASE STUDY,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122476939&doi=10.7166%2f32-4-2518&partnerID=40&md5=d3f46fcca761b5ddc20c97d3838595c2,"In terms of project risk management, ?systemic risk? is identified as risks which are artefacts of the environment which a project is executed in, and are related to (i) the project team?s actions, (ii) how project controls are managed and interact, and ",Monitoring and control - Value reporting and analysis,Monitoring and control,Value reporting and analysis
System dynamics application in analyzing the schedule risk influence on project portfolio,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79551551478&partnerID=40&md5=f1c19f611aa1169fbb99e067016347ed,"Due to the interaction between multiple projects and programs, the project portfolio can be regarded as a complicated system. Schedule risk of individual projects will be delivered to the inner portfolio according to this internal relationship of project",Risk management - Risk analysis,Risk management,Risk analysis
"Data-driven analysis of ""corporate risk"" using historical cost-control data",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0004399146&doi=10.1061%2f%28ASCE%290733-9364%281998%29124%3a1%2842%29&partnerID=40&md5=94cef4be03c3cfd627359385247966e4,"The process of risk management includes three phases of risk identification, risk quantification, and risk control. Of the three phases, many managers agree that the major benefits of risk management are derived from the insights through the way project ",Risk management - Risk analysis,Risk management,Risk analysis
the evaluation of innovation projects,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981632155&doi=10.1111%2fj.1467-9310.1972.tb00103.x&partnerID=40&md5=0b4d861ef450a0e77a86b01b10108789,Abstract. Any realistic assessment of research projects must allow for possible failures. Scaling down the Potential gain from each project by its probability of achievement ignores the expenditure on unsuccessful projects and is therefore misleading. Th,Risk management - Risk analysis,Risk management,Risk analysis
Development of natural gas assets in frontier offshore areas under challenging technical and economic environment - A project finance with real options approach,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040465040&doi=10.2118%2f187031-ms&partnerID=40&md5=69a601eb83f647f172cbc0ce627d57aa,"Gas field developments have been fundamental in the transition of moving toward a cleaner worldwide energy matrix. These developments normally flourish in the presence of large volumes, suitable infrastructure and committed demand through long-term contr",Risk management - Risk analysis,Risk management,Risk analysis
Exploring the structures and design effects of EU-funded R&D&I project portfolios,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128333025&doi=10.1016%2fj.techfore.2022.121687&partnerID=40&md5=5d2ca8116542e6a8b6eb8322f73480f3,"Joint R&D&I projects and programs increase performance but entail project-related risks; namely, concurrent projects may share resources, delays may be inherited by later projects, and costs may overrun. With a project portfolio, one can better plan budg",Risk management - Risk analysis,Risk management,Risk analysis
Simulation of adaptive project management analytics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-49749113737&doi=10.1109%2fWSC.2007.4419859&partnerID=40&md5=3916699bc04b2d319ff443c6807fe3e9,"Typically, IT projects are delivered over-budget and behind schedule. In this paper, we explore the effects of common project management practices that contribute to these problems and suggest a better alternative that can utilize resources more effectively. Our alternative approach uses (a) a thorough analysis of risks affecting activities in a project plan (i.e., the root factors leading to cost and time overruns), and (b) an optimization of the resources allocated to each activity in the project plan to maximize the probability of on time and within budget project completion. One key feature of our method is its capability to adapt and learn the risk factors affecting activities during the course of the project, enabling project managers to reallocate resources dynamically to ensure a better outcome given the updated risk profile. We use simulations to test the performance of our optimization algorithm and to gain insights into the benefits of adaptive re-planning. © 2007 IEEE.",Risk management - Risk analysis,Risk management,Risk analysis
Probabilistic Approach to Predicting Risk in Software Projects Using Software Repository Data,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945907018&doi=10.1142%2fS0218194015500151&partnerID=40&md5=dc62753d8b689a3d578a365055007e6b,"Although the factors that need to be focused on for a successful software project appear to be difficult to define, risk management has become one of the key activities for achieving such success because significant risk is involved in each software development phase. Software project failures are often a result of insufficient and ineffective risk information regarding the future. To overcome this, software risk prediction should be performed in advance to allow project managers insight into providing more valuable information for decision making, such as scope coverage, resource allocation, and schedule changes. In this research, we propose a risk prediction model from the perspective of quality using a software repository. We evaluated the risk threat level by mapping some defect attributes that exist in the defect lifecycle, defined their risk threat transition states, and applied a Markov chain for predicting the potential risk level. We evaluated the proposed approach using practical real-industry mobile software projects. The experimental results confirm that our approach is applicable to software threat risk estimation. © 2015 World Scientific Publishing Company.",Risk management - Risk analysis,Risk management,Risk analysis
Corporate Governance Efficiency: Automation of Corporate Governance Procedures,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128015451&doi=10.4018%2f978-1-6684-3694-3.ch007&partnerID=40&md5=2e98a4c37b98fd1345af9afcfdf20cbd,"Since the time of the first corporations, shareholders have expected boards to manage corporate governance processes in the best way. At the same time, the era of digital technology can significantly increase the effectiveness of corporate governance procedures through automation of corporate governance procedures as business processes. The board of directors and the corporate secretary can rely on performance indicators and manage the effectiveness of corporate governance processes. This chapter discusses opportunities for improving the business processes, including automation and analytics. The author considers approaches to project management of corporate governance procedures automation and its limitations. © 2022 by IGI Global. All rights reserved.",Risk management - Risk analysis,Risk management,Risk analysis
"Portfolio management in commercially oriented businesses: Project selection, prioritization and measurement",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881563890&partnerID=40&md5=79c25964f98463731efe85bd24841bc6,"In a commercially focused project oriented business, project identification, selection and execution determine profitability. A business must measure, rank and prioritize its commercial projects to ensure resources are allocated to the high priority comp",Risk management - risk identification,Risk management,Risk identification
Moresa: confronting risks in a highly uncertain environment,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144064827&doi=10.1108%2fEEMCS-08-2022-0275&partnerID=40&md5=0b77d0c74bed0fa9fc4af9ba0c27a886,Learning outcomes: At the end of the case students will be able to: 1. Relate risk as one of the 12 principles in project management contemplated in the international standards of the PMBOK Seventh Edition guide. 2. Determine high-level risks by articula,Risk management - risk identification,Risk management,Risk identification
New discovery as a result of complex approach to brownfield region evaluation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039151133&doi=10.24887%2f0028-2448-2017-12-20-23&partnerID=40&md5=86bb0a76151793be5b87b24f884fcdfe,"Currently many prospective areas within Western Siberia still remain understudied and potentially promising, despite the huge amount of exploration works. These areas are mostly tending to be located at the side parts of the basin. Because of significant",Risk management - risk identification,Risk management,Risk identification
A Real Option based Six Sigma project evaluation and selection model,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053053930&doi=10.1016%2fj.ijproman.2011.01.011&partnerID=40&md5=739177f872c7a64530e04fe8c25e1a35,Identification and selection of Six Sigma projects are one of the most frequently discussed issues in the Six Sigma literatures today. In this paper a two-stage methodology has been proposed based on (i) Real Option Analysis for evaluating the value of t,Risk management - risk identification,Risk management,Risk identification
"Project portfolio risk identification and analysis, considering project risk interactions and using Bayesian Networks",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047019176&doi=10.3390%2fsu10051609&partnerID=40&md5=abe9156e5b33e28ff7cf9ec2dc7c7bc0,"An organization's strategic objectives are accomplished through portfolios. However, the materialization of portfolio risks may affect a portfolio's sustainable success and the achievement of those objectives. Moreover, project interdependencies and caus",Risk management - risk identification,Risk management,Risk identification
Risks of Data Science Projects - A Delphi Study,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122894670&doi=10.1016%2fj.procs.2021.12.100&partnerID=40&md5=f996a890bce8f3a43b0c034c92134986,"Risk is one of the most crucial components of a project. Its proper evaluation and treatment increase the chances of a project's success. This article presents the risks in Data Science projects, assessed through a study conducted with the Delphi technique, to answer the question, ""What are the risks of Data Science projects"". The study allowed the identification of specific risks related to data science projects, however it was possible to verify that over a half of the most mentioned risks are similar to other types of IT projects. This paper describes the research from expert selection, risk identification and analysis, and the first conclusions. © 2021 Elsevier B.V. All rights reserved.",Risk management - risk identification,Risk management,Risk identification
Use of Artificial Intelligence Smart Tools in Projects,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132265941&doi=10.1109%2fICSSS54381.2022.9782273&partnerID=40&md5=054c026ad9a112f2d2689347cae6783c,"In recent years, artificial intelligence (AI) has gotten a lot of press and attention. Learning and adapting through constant algorithmic interventions aid in the development of a firm grasp of the situation at hand, as well as the handling of more difficult challenges as they arise. Cognitive psychology and knowledge-based applications engineering are at the heart of AI. AI-assisted quicker computing approaches are being used to address complex difficulties. Simultaneously, new, and more complicated issues emerge, which are difficult for the human mind to understand and envision, and which are far from being solved. Dynamic developments in global technical, economic, political, and environmental settings provide insurmountable challenges to corporate executives and strategists. Projects and project management are used to carry out business plans and government welfare goals. Throughout the project's timeframe, project managers must cope with restrictions. Regardless of methodology, predictive or iterative, the existence of various stakeholders and managing their requirements creates a slew of issues for the project manager and team. This paper aims to explain the existing industrial procedures employed by project managers that utilize AI principles. The author's aim is to set out obstacles and realistic alternatives for next generation project managers to apply AI in managing stakeholder expectations, resolving dissent and conflicts, and assuring flawless project delivery. © 2022 IEEE.",Risk management - risk identification,Risk management,Risk identification
Evaluation Criteria of Project Risk and Decision Making Through Beta Analysis and TOPSIS Towards Achieving Organizational Effectiveness,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068602908&doi=10.1007%2f978-981-13-8581-0_13&partnerID=40&md5=2c27eef5a8199346c897e4303c6a7a77,"Value of a project of an organization is primarily determined by two major factors – risk and return. The most important aspect of a business analysis, therefore, lies with the analysis of the risks and their associated returns. The basic objective of an organization is to increase the productivity to grab more market share. But the problem is that market risk is inherent in all projects and, by nature, it is stochastic. It can hardly be avoided but can be mitigated at most through diversification. Through Capital Asset Pricing Model (CAPM), the systematic or un-diversifiable risks can be described and measured by beta, ?. In order to mitigate the risk, investments are to be made on a combination of different projects or portfolio of projects rather than a single project. Through ?-hedging, a proper hedging strategy can be developed to reduce the systematic risk. But it has also been observed that the concept of CAPM has been plagued by the stochastic nature of the economy. Therefore, in the first part of this work, the systematic risk has been evaluated through time-varying ? analysis. According to the results of the hedge performance of individual projects of the portfolio, it will be possible to select/rank the projects according to their risk-return trade-off capacity and in the second part, the Technique for Order Preference using Similarity to Ideal Solution (TOPSIS), one of the most important MCDM techniques, has been merged with CAPM in order to provide a more justified selection procedure of projects considering four more attributes, other than risk, which may confirm a more realistic basis of creating the portfolio for increasing organizational effectiveness.",Risk management - risk identification,Risk management,Risk identification
Best practices in structuring data science projects,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053242815&doi=10.1007%2f978-3-319-99993-7_31&partnerID=40&md5=6d678bdb8fbd99fc655c5c73353a4662,"The goal of Data Science projects is to extract knowledge and insights from collected data. The focus is put on the novelty and usability of the obtained insights. However, the impact of a project can be seriously reduced if the results are not communicated well. In this paper, we describe a means of managing and describing the outcomes of the Data Science projects in such a way that they optimally convey the insights gained. We focus on the main artifact of the non-verbal communication, namely project structure. In particular, we surveyed three sources of information on how to structure projects: common management methodologies, community best practices, and data sharing platforms. The survey resulted in a list of recommendations on how to build the project artifacts to make them clear, intuitive, and logical. We also provide hints on tools that can be helpful for managing such structures in an efficient manner. The paper is intended to motivate and support an informed decision on how to structure a Data Science project to facilitate better communication of the outcomes. © 2019, Springer Nature Switzerland AG.",Risk management - risk identification,Risk management,Risk identification
Project portfolio risk response selection using bayesian belief networks,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105848719&doi=10.22059%2fIJMS.2020.272892.673461&partnerID=40&md5=fa9a7ed566a70258a5ce4bb2c1192e71,"Risk identification, impact assessment, and response planning constitute three building blocks of project risk management. Correspondingly, three types of interactions could be envisioned between risks, between impacts of several risks on a portfolio com",Risk management - Risk response,Risk management,Risk response
Risk Response Strategies Selection over the Life Cycle of Project Portfolio,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144907528&doi=10.3390%2fbuildings12122191&partnerID=40&md5=5e86ed19a4e5dc7126af0389a9d2617d,"The successful implementation of project portfolios (PP) calls for effective risk management, in which selecting optimal risk response strategies help to reduce the impact of risk. Project portfolio risks (PPRs) exhibit causality and time dependency over",Risk management - Risk response,Risk management,Risk response
A portfolio risk response strategies selection model considering interference of strategy realization and two-level correlation of risks; [??????????????????????????????],https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163877421&doi=10.13195%2fj.kzyjc.2021.2141&partnerID=40&md5=767e9c50ca842cdcc1d3abc21dd1e703,"Due to the influence of project portfolio risks, project portfolios can not effectively support the realization of enterprise strategies. Therefore, enterprises need to adopt appropriate risk response strategies to ensure the project portfolio success, b",Risk management - Risk response,Risk management,Risk response
