Title,Authors,Year,Cited by,Abstract,DOI,Link,EID,Criterios,Publicación,Cómo aporta la analítica?,PUBLISHER,H-Index,Quartiles,Nota,URL,
Critical Success Factors of Business Intelligence Systems Implementation,Williams R.A.; Sheikh N.J.; Duman G.M.; Kongar E.,2022,0,"Business intelligence (BI) systems enable rapid decision-making in an era of big data and constantly evolving market dynamics. Yet, the majority of BI implementation efforts fail to deliver productive outcomes. We use a technical, organizational, and process perspective to identify significant criteria that contribute to successful implementation. A taxonomy of perspectives, criteria, and factors is introduced. This work provides insights into developing a decision model to support successful BI implementation.  © 1973-2011 IEEE.",10.1109/EMR.2022.3197096,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135981665&doi=10.1109%2fEMR.2022.3197096&partnerID=40&md5=f664cb1c17689c428c2d0c38ae5f0533,2-s2.0-85135981665,Criterios para establecer objetivos de valor,IEEE Engineering Management Review,Definición de la estrategia a partir de la analitica de los datos?,IEEE,32,"Management of Technology and Innovation 2022 Q2
Strategy and Management 2022 Q2",No disponible para descarga,https://ieeexplore-ieee-org.ezproxy.uniandes.edu.co/document/9851937,
Improving Project Control by Utilizing Predictive Data Analytic Models,Jaafar K.; Aloran A.; Watfa M.,2021,0,"Project progress is an apprehension for every project, as it indicates how the project is likely to meet the associated milestones. Utilizing collected data from archived projects can assist managers to envisage project progress. By leveraging the power of data analytics, this research attempts to highlight data trends based on data collected from 279 infrastructure projects in the UAE. Specifically, this research rigorously analyses the relationships between project budget, duration, and progress using K-means clustering techniques and hypothesis testing. We then provide predictive models using Autoregressive Integrated Moving Average - ARIMA and Multivariate regression models that allow managers to predict with a 99.15% accuracy the monthly progress of an infrastructure project over the next 3 months. This research paper provides project managers with a comprehensive framework that combines data analytics techniques with agility practices to predict short term project progress in order to take proactive measures on the different influencing factors.  © IEEE 2022.",10.1109/CSDE53843.2021.9718399,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127909577&doi=10.1109%2fCSDE53843.2021.9718399&partnerID=40&md5=c0269d5235e367459b46e1b6a630948d,2-s2.0-85127909577,Métricas para el monitoreo del portafolio de proyectos,2021 IEEE Asia-Pacific Conference on Computer Science and Data Engineering (CSDE),Metricas para mejorar el control de los proyectos?,IEEE,N/A,N/A,No disponible para descarga,https://ieeexplore-ieee-org.ezproxy.uniandes.edu.co/document/9718399,
Using analytics to predict project management success,"Summerfield N., Zhang J., Motiwalla L., Mai T., Mazza K.",2018,1,"IT projects normally face time and cost overruns challenges. Predicting which projects will not be completed by the expected end date (time overrun) and within the allotted number of hours (man-hours overrun) helps manage company's employee utilization and avoids overscheduling. This study applied a data analytics framework on IT project management dataset to predict the project completion time and overruns (in man-hours). We used linear regression and classification models to predict projects' performance and analyze the underlying factors causing project delay. Our predictive analysis used 131 variables which included 536 tasks, 138 resources, 69371 employee hours, 72 contractors that were assigned to 434 projects. We also calculated two new variables closeness and betweenness among project team members. Results showed that Decision Tree outperformed SVM, ANN, LDA, and logistic regression in predicting man-hours overrun. In addition, preliminary Social Network Analysis (SNA) indicates that Avg-closeness and Avg-betweenness did not improve prediction on the overall amount of time and man-hours overrun but improve the prediction on time overrun, but task, resource and contractor assignments variables were significant at p-value of .01. The models we used helps identify key predictors of project performance and provide insights into the company's resource management. ",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066975393&partnerID=40&md5=e26bf73d39d6f35ff9f6f5c6c3227cca,2-s2.0-85066975393,Métricas para el monitoreo del portafolio de proyectos,Proceedings of the International Conference on Industrial Engineering and Operations Management,Predicción del éxito del proyecto basado en datos?,,18,N/A,,,
Risk assessment of innovative projects: Development of forecasting models,Gorokhovatskyi V.; Sergienko O.; Sosnov I.; Tatar M.; Shapran E.,2021,0,"The purpose of this article is development a systematic dynamic complex model of generation and risk assessment of innovative project, on the bases of which a scenario modeling of many risks influence arising at certain stages of project implementation in the target area. For article purpose realization, the paper proposes a complex toolkit for modeling the innovative projects risks in the direction of their impact on performance indicators in scenarios, which involves the implementation of the following stages of modeling: Stage 1. Collection and processing of project data; Stage 2. Evaluation of innovation project efficiency indicators; Stage 3. Formation and assessment of many risks of innovation project by components, nature and impact strength; Stage 4. Modeling of innovative project development scenarios. The implemented set of models makes possible to compare all components of efficiency and riskiness, which determine the integrated aggregate level of project risk by components of life cycle risks, target project risks and scenarios depending on environmental factors and managers propensity to take risks, and solves the problem of positioning the real indicators state of innovation project efficiency in a comparative dynamic context based on three-level assessment, due to structural elements of risks and identification of possible and promising deadlines and time horizons by stages of the project life cycle, critical paths and reserves which allow us to achieve the main goal of improving the innovative projects implementation efficiency. © 2021 for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0).",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113860138&partnerID=40&md5=23e26859d73c146bcb46d05ab53fe730,2-s2.0-85113860138,Criterios para la medición de beneficios.,CEUR Workshop Proceedings,Gestión del riesgo basado en los datos?,,62,N/A,,,
Use of Artificial Intelligence Smart Tools in Projects,Lokhande A.,2022,0,"In recent years, artificial intelligence (AI) has gotten a lot of press and attention. Learning and adapting through constant algorithmic interventions aid in the development of a firm grasp of the situation at hand, as well as the handling of more difficult challenges as they arise. Cognitive psychology and knowledge-based applications engineering are at the heart of AI. AI-assisted quicker computing approaches are being used to address complex difficulties. Simultaneously, new, and more complicated issues emerge, which are difficult for the human mind to understand and envision, and which are far from being solved. Dynamic developments in global technical, economic, political, and environmental settings provide insurmountable challenges to corporate executives and strategists. Projects and project management are used to carry out business plans and government welfare goals. Throughout the project's timeframe, project managers must cope with restrictions. Regardless of methodology, predictive or iterative, the existence of various stakeholders and managing their requirements creates a slew of issues for the project manager and team. This paper aims to explain the existing industrial procedures employed by project managers that utilize AI principles. The author's aim is to set out obstacles and realistic alternatives for next generation project managers to apply AI in managing stakeholder expectations, resolving dissent and conflicts, and assuring flawless project delivery. © 2022 IEEE.",10.1109/ICSSS54381.2022.9782273,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132265941&doi=10.1109%2fICSSS54381.2022.9782273&partnerID=40&md5=054c026ad9a112f2d2689347cae6783c,2-s2.0-85132265941,Identificación de riesgos,2022 8th International Conference on Smart Structures and Systems (ICSSS),Herramientas de IA para la gestión de los proyectos,IEEE,N/A,N/A,No disponible para descarga,https://ieeexplore-ieee-org.ezproxy.uniandes.edu.co/document/9782273,
Project duration-cost-quality prediction model based on Monte Carlo simulation,"Chen X., Cheng L., Deng G., Guan S., Hu L.",2021,3,"Based on the earned value management theory, the project duration and cost forecast data are obtained through Monte Carlo simulation, combined with the knowledge of mathematical statistics to in-depth analysis of the data, and then the project quality calculation is completed by establishing the quality correlation function. On the basis of existing scholars' research, at the process level, the management focus is identified by calculating process influence and quality, and at the project level, the operation of the entire project is simulated and predicted by the calculation of the total construction period, cost, and quality. © Published under licence by IOP Publishing Ltd.",10.1088/1742-6596/1978/1/012048,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112455225&doi=10.1088%2f1742-6596%2f1978%2f1%2f012048&partnerID=40&md5=b42dc3fd0006536989644363ce0e79eb,2-s2.0-85112455225,Criterios para el monitoreo y medición de valor.,Journal of Physics: Conference Series,,IOP Publishing Ltd.,91,"Physics and Astronomy (miscellaneous)	 2020	 Q4",,,
Document clustering for knowledge synthesis and project portfolio funding decision in R&D organizations,Kumar A.; Kumar N.; Gupta R.,2019,0,"The paper discusses a method of using document clustering for information/knowledge synthesis and decision facilitation in R&D organisations. The emerging methodologies of machine learning, artificial intelligence and data science in conjunction with fuzzy mathematics can be optimally exploited to catalyse development of information bank for research organisations. This knowledge ecosystem can be utilized by the proposed mechanism to accelerate and reinforce interdisciplinary research for R&D organisations and empower them to make efficacious information-driven decisions related to project portfolio selection and proposal funding. © 2019, National Institute of Science Communication and Information Resources (NISCAIR). All rights reserved.",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076474119&partnerID=40&md5=7a52a089521bd3904446526d306ab1f2,2-s2.0-85076474119,Selección,Annals of Library and Information Studies - India,,National Institute of Science Communication and Information Resources (NISCAIR),16,"Computer Science Applications 	2022 	Q4
Library and Information Sciences 	2022 	Q3",,,
Project performance analysis using hierarchical clustering method,Halaj M.,2021,,This paper deals with the project management performance analysis in automotive industry and usage of the advanced analytics to optimize the performance of the engineering projects within the vehicle manufacturing facility. The aim is to identify and mitigate the common causes of project delay (slippage) in various engineering projects that are independent of the technical discipline where a particular project belongs to. We have used the hierarchical clustering technique here to identify the sub-groups of similar projects and further deeply analysed those ones with the highest average slippage. © 2021 International Journal of Emerging Technology and Advanced Engineering. All rights reserved.,10.46338/ijetae0721_05,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110948395&doi=10.46338%2fijetae0721_05&partnerID=40&md5=a5a0d2ff0252b6ac7ff108469898b30f,2-s2.0-85110948395,Métricas para el monitoreo del portafolio de proyectos,International Journal of Emerging Technology and Advanced Engineering,,,7,Earth and Planetary Sciences (miscellaneous) 2022 Q4,,,
Evaluation Criteria of Project Risk and Decision Making Through Beta Analysis and TOPSIS Towards Achieving Organizational Effectiveness,"Chakraborty B., Das S.",2019,,"Value of a project of an organization is primarily determined by two major factors – risk and return. The most important aspect of a business analysis, therefore, lies with the analysis of the risks and their associated returns. The basic objective of an organization is to increase the productivity to grab more market share. But the problem is that market risk is inherent in all projects and, by nature, it is stochastic. It can hardly be avoided but can be mitigated at most through diversification. Through Capital Asset Pricing Model (CAPM), the systematic or un-diversifiable risks can be described and measured by beta, ?. In order to mitigate the risk, investments are to be made on a combination of different projects or portfolio of projects rather than a single project. Through ?-hedging, a proper hedging strategy can be developed to reduce the systematic risk. But it has also been observed that the concept of CAPM has been plagued by the stochastic nature of the economy. Therefore, in the first part of this work, the systematic risk has been evaluated through time-varying ? analysis. According to the results of the hedge performance of individual projects of the portfolio, it will be possible to select/rank the projects according to their risk-return trade-off capacity and in the second part, the Technique for Order Preference using Similarity to Ideal Solution (TOPSIS), one of the most important MCDM techniques, has been merged with CAPM in order to provide a more justified selection procedure of projects considering four more attributes, other than risk, which may confirm a more realistic basis of creating the portfolio for increasing organizational effectiveness.",10.1007/978-981-13-8581-0_13,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068602908&doi=10.1007%2f978-981-13-8581-0_13&partnerID=40&md5=2c27eef5a8199346c897e4303c6a7a77,2-s2.0-85068602908,Identificación de riesgos,Communications in Computer and Information Science,,Springer Nature Singapore,62,"Computer Science (miscellaneous)	 2022	 Q4",,,
Information support of corporate governance and strategic management using analytical software,Isaev D.,2010,3,"In the paper an information aspect of corporate governance and strategic management is considered. Relying on analysis of merits and limitations of current developments the concept of performance management information support system and the appropriate modeling approach are proposed. Finally, the possibilities of use of analytical information systems for corporate governance and strategic management are discussed. ©2010 IEEE.",10.1109/ICICISYS.2010.5658550,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78651273051&doi=10.1109%2fICICISYS.2010.5658550&partnerID=40&md5=4196fb8e4a03a87b9b684818c9313f04,2-s2.0-78651273051,Gobierno del portafolio,2010 IEEE International Conference on Intelligent Computing and Intelligent Systems,Uso de la analítica para determinar gobierno y estrategia?,IEEE,16,N/A,No disponible para descarga,https://ieeexplore-ieee-org.ezproxy.uniandes.edu.co/document/5658550,
Data Science Roadmapping: Towards an Architectural Framework,Kayabay K.; Gokalp M.O.; Gokalp E.; Eren P.E.; Kocyigit A.,2020,0,"The availability of big data and related technologies enables businesses to exploit data for competitive advantage. Still, many industries face obstacles while leveraging data science to overcome business problems. This paper explores the development of a roadmapping approach to address data science challenges. Towards this goal, we customize technology roadmapping by synthesizing roadmapping, big data, data science, and data-driven organization literature. The resulting data science roadmapping approach links business strategy with data-related, technological, and organizational resources. It also enables communication, stakeholder buy-in, and project prioritization. While most of the existing studies illustrate prebuilt roadmaps, this study focuses on the process of roadmapping. The application of the roadmapping process rather than a particular roadmap provides the benefits above. © 2020 IEEE.",10.1109/ICTMOD49425.2020.9380617,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103741925&doi=10.1109%2fICTMOD49425.2020.9380617&partnerID=40&md5=e74ef369124827bfbf855bcff348dec9,2-s2.0-85103741925,Gestión de intersados,"2020 IEEE International Conference on Technology Management, Operations and Decisions",Gestión de los interesados a partir de la analítica de datos?,IEEE,N/A,N/A,,,
Business Value Creation Through Project Management Based on Big Data Approach,"Chennouk H., Ziyati E.H., El Bhiri B.",2022,,"In the era of big data, the high level of businesses’ digitalization, and new technology development in various fields, awash companies in a flood of massive amounts of data. Dealing with that fact is non more an option. Companies have to reexamine the way they do business in order to gain benefits from big data. Consequently, they have to review their approach of managing projects in order to create the added value. For the purpose of assessing this issue, we have adopted a research approach built on two phases. In the first, we have performed a systematic literature review to spot the gaps in the current research. The results have revealed that so far, no scientific work has discussed how companies can create business value through project management in a big data context. These results have also shown significant contributions of the research community on how big data contributes to value creation in organizations. In the second, we have suggested an approach to fills the identified gap by proposing a framework that support project management process in big data environment. © 2022 International Information and Engineering Technology Association. All rights reserved.",10.18280/isi.270516,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145677998&doi=10.18280%2fisi.270516&partnerID=40&md5=900371c4fc40f8e8a79e2d0897cc421c,2-s2.0-85145677998,Criterios para la medición de beneficios.,Ingenierie des Systemes d'Information,Creación de valor a partir de analitica de datos de gestión de proyectos?,Lavoisier,14,"Information Systems	 2022	 Q3",,,
Probabilistic Approach to Predicting Risk in Software Projects Using Software Repository Data,"Jeon C., Kim N., In H.P.",2015,1,"Although the factors that need to be focused on for a successful software project appear to be difficult to define, risk management has become one of the key activities for achieving such success because significant risk is involved in each software development phase. Software project failures are often a result of insufficient and ineffective risk information regarding the future. To overcome this, software risk prediction should be performed in advance to allow project managers insight into providing more valuable information for decision making, such as scope coverage, resource allocation, and schedule changes. In this research, we propose a risk prediction model from the perspective of quality using a software repository. We evaluated the risk threat level by mapping some defect attributes that exist in the defect lifecycle, defined their risk threat transition states, and applied a Markov chain for predicting the potential risk level. We evaluated the proposed approach using practical real-industry mobile software projects. The experimental results confirm that our approach is applicable to software threat risk estimation. © 2015 World Scientific Publishing Company.",10.1142/S0218194015500151,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945907018&doi=10.1142%2fS0218194015500151&partnerID=40&md5=dc62753d8b689a3d578a365055007e6b,2-s2.0-84945907018,Medición o cuantificación de riesgos,International Journal of Software Engineering and Knowledge Engineering,Predicción del riesgo basado en datos?,,38,"Artificial Intelligence 2022 Q4
",No disponible para descarga,https://www.worldscientific.com/doi/10.1142/S0218194015500151,
Best practices in structuring data science projects,Rybicki J.,2019,1,"The goal of Data Science projects is to extract knowledge and insights from collected data. The focus is put on the novelty and usability of the obtained insights. However, the impact of a project can be seriously reduced if the results are not communicated well. In this paper, we describe a means of managing and describing the outcomes of the Data Science projects in such a way that they optimally convey the insights gained. We focus on the main artifact of the non-verbal communication, namely project structure. In particular, we surveyed three sources of information on how to structure projects: common management methodologies, community best practices, and data sharing platforms. The survey resulted in a list of recommendations on how to build the project artifacts to make them clear, intuitive, and logical. We also provide hints on tools that can be helpful for managing such structures in an efficient manner. The paper is intended to motivate and support an informed decision on how to structure a Data Science project to facilitate better communication of the outcomes. © 2019, Springer Nature Switzerland AG.",10.1007/978-3-319-99993-7_31,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053242815&doi=10.1007%2f978-3-319-99993-7_31&partnerID=40&md5=6d678bdb8fbd99fc655c5c73353a4662,2-s2.0-85053242815,Identificación de riesgos,Advances in Intelligent Systems and Computing,Riesgos específicos de proyectos de analítica y data science,Springer Science and Business Media Deutschland GmbH,58,"Computer Science (miscellaneous) 2021 Q4
Control and Systems Engineering 2021 Q4",No disponible para descarga,https://eds-s-ebscohost-com.ezproxy.uniandes.edu.co/eds/detail/detail?vid=4&sid=65a382bb-7318-49a9-ba04-095262b1eac7%40redis&bdata=Jmxhbmc9ZXMmc2l0ZT1lZHMtbGl2ZSZzY29wZT1zaXRl#db=edselc&AN=edselc.2-52.0-85053242815,
Key success factors in Business Intelligence,Adamala S.; Cidrin L.,2011,36,"Business Intelligence can bring critical capabilities to an organization, but the implementation of such capabilities is often plagued with problems. Why is it that certain projects fail, while others succeed? The aim of this article is to identify the factors that are present in successful Business Intelligence projects and to organize them into a framework of critical success factors. A survey was conducted during the spring of 2011 to collect primary data on Business Intelligence projects. Findings confirm that Business Intelligence projects are wrestling with both technological and non-technological problems, but the non-technological problems are found to be harder to solve as well as more time consuming than their counterparts. The study also shows that critical success factors for Business Intelligence projects are different from success factors for Information Systems projects in general. Business Intelligences projects have critical success factors that are unique to the subject matter. Major differences can be found primarily among non-technological factors, such as the presence of a specific business need and a clear vision to guide the project. Success depends on types of project funding, the business value provided by each iteration in the project and the alignment of the project to a strategic vision for Business Intelligence at large. Furthermore, the study provides a framework for critical success factors that, explains sixty-one percent of variability of success for projects. Areas which should be given special attention include making sure that the Business Intelligence solution is built with the end users in mind, that the Business Intelligence solution is closely tied to the company's strategic vision and that the project is properly scoped and prioritized to concentrate on the best opportunities first.",10.37380/jisib.v1i1.19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878681775&doi=10.37380%2fjisib.v1i1.19&partnerID=40&md5=3b062115cde1f23409c75a753fd2a5ae,2-s2.0-84878681775,Gestión de capacidades,Journal of Intelligence Studies in Business,Identificación de factores de éxito para d determinar que proyectos seleccinoar en el portafolio de Analítica?,Halmstad University,13,"Management Science and Operations Research 	2022 Q4",,,
"Data science and artificial intelligence in project management: The past, present and future",Ong S.; Uddin S.,2020,9,"The contemporary landscape of Project Management is continually morphing as a response to the changing demands as well as the availability of developing technology. This article discusses and uncovers the current state of Data Science and Artificial Intelligence in relation to the Project Management sector. Drawing from this context, the possible future applications and uses are then delineated. Several trends are identified, and the overall findings are synthesized to provide a realistic impression of what the future topography of Project Management holds. The increasingly sophisticated applications of technology have been found to assist in streamlining the current industry-standard procedures. © 2020 Editora Mundos Sociais. All rights reserved.",10.19255/JMPM02202,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091161433&doi=10.19255%2fJMPM02202&partnerID=40&md5=91d700dc7cd2d678d0b07eb70178b210,2-s2.0-85091161433,Papel de la analitica?,Journal of Modern Project Management,Cómo las tendencias en IA permiten seleccionar peoyectos según las expectativas de la organización?,,12,"Management of Technology and Innovation	 2022 	Q3
Strategy and Management	 2022	 Q3",,,
Data-driven demand response characterization and quantification,"Le Ray G., Pinson P., Larsen E.M.",2017,5,"Analysis of load behavior in demand response (DR) schemes is important to evaluate the performance of participants. Very few real-world experiments have been carried out and quantification and characterization of the response is a difficult task. Nevertheless it will be a necessary tool for portfolio management of consumers in a DR framework. In this paper we develop methods to quantify and characterize the amount of DR in a load. The contribution to the aggregated load from each household is quantified on a daily basis, showing the potential variability of the response in time. Clustering on the average values and standard deviation of the contribution regroups households with the same average response. Independent Component Analysis (ICA) is used to characterize different DR delivery profiles. © 2017 IEEE.",10.1109/PTC.2017.7981009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034783857&doi=10.1109%2fPTC.2017.7981009&partnerID=40&md5=d726fba8c58c009f2f7761dec6fc76e4,2-s2.0-85034783857,Gestión de capacidades,Proceedings of 12th IEEE Power and Energy Society PowerTech Conference,Como la analítica ayuda a seleccionar proyectos y caracterizarlos?,IEEE,N/A,N/A,,,
Data science approach for it project management,Grabis J.; Haidabrus B.; Protsenko S.; Protsenko I.; Rovna A.,2019,2,"Majority of the IT companies realized that ability to analyse and use data, could be one of the key factors for increasing of number of successful projects, portfolios, programs. Key performance indicators based on data analysis helps organizations be more prosperous in a long term perspective. Also, statistical data are very useful for monitoring and evaluation of project results which are very important for managers, delivery directors, CTO and others high level management of company. The Data Science methods could make more efficient project management in several of business problems. Analysis of historical data from the project life-cycle based on Data Science models could provide more efficient benefits for different stakeholders. Differential of the project data vector with target as an integral evaluation of the project success which allow for the complex correlations between separate features. Therefore, the influence of features importance and override creatures could be decreased on the target. This study propose new approach based on Data Science providing more efficient and accurately project management, taking into account best practices and project performance data. © 2019 Janis Grabis, Bohdan Haidabrus, Serhiy Protsenko, Iryna Protsenko, Anna Rovna.",10.17770/etr2019vol2.4163,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073035715&doi=10.17770%2fetr2019vol2.4163&partnerID=40&md5=d0ed9d89471e5b77666604b351747379,2-s2.0-85073035715,KPI,"Proceedings of the 12th International Scientific and Practical Conference. Volume II, 51-55",,Rezekne Academy of Technologies.,11,N/A,,,
Visual models' system of project management,"Kolychev V.D., Rumyantsev V.P.",2014,10,"This article describes the project management problems complex and according visual methods applied in order to solve them. A systematic approach to project management and complex objects visualization problem solving is proposed. The article considers the problem of business graphics as modern techniques of computational geometry and scientific visualization, that aims the formation of a geometric model of the project initial data. Methods of visual analytics became popular in recent years and are used as a basic approaches to solve problems in the project management area, to those practitioners pay a lot of attention. Application of visual and instrumental analysis, using original software developed by the authors is proposed. The technological sequence in order to obtain the project management problem visual solution for managers is given; moreover, recommendations for the use of visual analytics methods to determine the necessary intervention in the problem situation arising in the process of project management are given. Decision making software tools for the project management tasks based on graphical analysis of the problem situation and on formulating recommendations for the decision making person are presented in the paper. Visual models of structural and risk analysis, calendar, resources, investments and financial planning are presented.This work is the author's review of methods of visual analysis in the sphere of project management. © 2014, National Research Nuclear University. All rights reserved.",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908287711&partnerID=40&md5=485a5ed952d0c56a9a05e6ae0f98339d,2-s2.0-84908287711,Selección,,,,,,,,
Business intelligence capabilities as facilitators to achieve organizational agility,"Kuilboer J.-P., Ashrafi N., Lee O.-K.D.",2016,4,"Today's business environment is characterized by fast and unexpected changes, many of which are driven by technological advancement. In such environment, the ability to respond effectively and adapt to the new requirements is not only desirable but essential to survive. Comprehensive and quick understanding of intricacies of market changes facilitates firm's faster and better response. Two concepts contribute to the success of this scenario; organizational agility and business intelligence (BI). As of today, despite BI's capabilities to foster organizational agility and consequently improve organizational performance, a clear link between BI and organizational agility has not been established. In this paper we argue that BI solutions have the potential to be facilitators for achieving agility. We aim at showing how BI capabilities can help achieve agility at operational, portfolio, and strategic levels.",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987629370&partnerID=40&md5=c7d2b903a1b125653ec0eadc9daa60ba,2-s2.0-84987629370,Gobierno del portafolio,,,,,,,,
Neural network based framework for optimization of enterprise resource planning,Groza B.; Iclanzan T.; Dumitrescu C.; Taroata A.,2006,1,"Enterprise resource planning (ERP) systems are comprehensive information technology packages which aim towards managing and integrating all the business functions within a company. ERP is built on a totally integrated unique data warehouse. Business intelligence may be created based on the information stored in the data warehouse, to enable efficient management and operations monitoring of all areas of the organization. This paper introduces a new approach that employs soft computing (SC) techniques towards automatic optimization of the management decision making process which allows for an efficient strategic management of the company.",10.1109/CCECE.2006.277422,https://www.scopus.com/inward/record.uri?eid=2-s2.0-39049144895&doi=10.1109%2fCCECE.2006.277422&partnerID=40&md5=89374d4530ec39411865600473e5e9dc,2-s2.0-39049144895,Criterios financieros para la ejecución del portfolio ,,,,,,,,
Modeling a business intelligence system for investment projects,"Caia F., N?stase P.",2015,1,"The phases of evaluation and selection of investment projects require marketing, technical and financial information analysis before the decisions are made. In order to meet strict legal environmental and fiscal regulations it is necessary to assess the environmental and social impact. These analysis may indicate alternative sites, models, technologies, and methods of implementation as solutions for executing the project, which often involve higher costs, and cause delays in the feasibility analysis and project selection. The purpose of this empirical research is to reduce the effort and duration of the selection and evaluation of projects and project portfolio optimization, increasing the efficiency and accuracy of budget implementation and controlling in accordance with the investment strategy of the company. The results consist of a set of requirements for a specific business intelligence system, designed to improve the operational flow and the performance of the planning process, and an analysis of significant factors underlying performance differences between projected and actual achievements, to define the parameters of the model. © 2015,Academy of Economic Studies, All right reserved.",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945177904&partnerID=40&md5=e86ab430fc8309337279abfc47d79f6c,2-s2.0-84945177904,Priorización,,,,,,,,
Corporate Governance Efficiency: Automation of Corporate Governance Procedures,Endutkin S.N.,2021,,"Since the time of the first corporations, shareholders have expected boards to manage corporate governance processes in the best way. At the same time, the era of digital technology can significantly increase the effectiveness of corporate governance procedures through automation of corporate governance procedures as business processes. The board of directors and the corporate secretary can rely on performance indicators and manage the effectiveness of corporate governance processes. This chapter discusses opportunities for improving the business processes, including automation and analytics. The author considers approaches to project management of corporate governance procedures automation and its limitations. © 2022 by IGI Global. All rights reserved.",10.4018/978-1-6684-3694-3.ch007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128015451&doi=10.4018%2f978-1-6684-3694-3.ch007&partnerID=40&md5=2e98a4c37b98fd1345af9afcfdf20cbd,2-s2.0-85128015451,Medición o cuantificación de riesgos,,,,,,,,
The NASA program management tool: A new vision in business intelligence,Bell D.G.; Maluf D.A.; Gawdiak Y.; Putz P.; Swanson K.,2006,4,"This paper describes a novel approach to business intelligence and program management for large technology enterprises like the U.S. National Aeronautics and Space Administration (NASA). Two key distinctions of the approach are that 1) standard business documents are the user interface, and 2) a ""schema-less"" XML database enables flexible integration of technology information for use by both humans and machines in a highly dynamic environment. The implementation utilizes patent-pending NASA software called the NASA Program Management Tool (PMT) and its underlying ""schema-less"" XML database called Netmark. Initial benefits of PMT include elimination of discrepancies between business documents that use the same information and ""paperwork reduction"" for program and project management in the form of reducing the effort required to understand standard reporting requirements and to comply with those reporting requirements. We project that the underlying approach to business intelligence will enable significant benefits in the timeliness, integrity and depth of business information available to decision makers on all organizational levels. © 2006 IEEE.",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34047133908&partnerID=40&md5=72f7fdc6fc2a38727d79dde845ab4f92,2-s2.0-34047133908,,,,,,,,,
"Artificial intelligence, big data, strategic flexibility, agility, and organizational resilience: A conceptual framework based on existing literature","Ciampi F., Marzi G., Rialti R.",2018,4,"In today’s economically turbulent times, it is imperative that organizations remain flexible and resilient in order to adapt themselves to an ever-changing environment. To facilitate this, organizations should rely upon pliant structures of information, whilst simultaneously continuing to incorporate more rigid infrastructures in order to allow for the collection and analysis of large amounts of both internal and external data. This juxtaposition gives rise to the need for a trade-off. While academic literature has stressed that information systems may represent a burden for organizations pursuing strategic agility, flexibility, and organizational resilience, this paper highlights the ways in which Analytical, Automatic, Adaptive, and Agile information systems - or Big Data Analytics (BDA) capable information systems - may be helpful. In particular, this paper proposes BDA capable information systems, tied with artificial intelligence capabilities, as a trade-off solution. Alongside this, it also proposes some further implications of the topic for scholars and practitioners. © 2018 IADIS Press. All Rights Reserved.",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060276264&partnerID=40&md5=7b3b6d7dcae7ca6e4d0e4cd8b7e3a83c,2-s2.0-85060276264,,,,,,,,,
A business intelligence instrument for detection and mitigation of risks related to projects financed from structural funds,"Bolos M.I., Sab?u-Popa D.C., Scarlat E., Bradea I.-A., Delcea C.",2016,3,"The Structural Funds, in order to produce the intended effects, must use their specific management tools, for achieving the strategic objectives, outcome indicators and elements of added value set by each EU member state. The project portfolios must be managed properly. If risks of a project become contagious for other projects, we are witnessing a phenomenon that can compromise the chance that a program financed by Structural Funds to be well carried out. In this paper it is introduced an algorithm to reduce the project implementation risk and an IT interface is designed to serve as a control system, for the permanent measurement and monitoring of the risk indicators, in order to facilitate decision-making and prediction. © 2018, Bucharest University of Economic Studies. All rights reserved.",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043449114&partnerID=40&md5=12d4113bb350659f91bd4932e9aebd55,2-s2.0-85043449114,,,,,,,,,
